FPT,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
6. Doanh thu chưa thực hiện dài hạn,133,125,129,136,131
7. Phải trả dài hạn khác,42,187,194,192,184
8. Vay và nợ thuê tài chính dài hạn,208,525,478,478,501
9. Trái phiếu chuyển đổi,,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,257,330,282,282,357
12. Dự phòng phải trả dài hạn,69,97,113,160,263
13. Quỹ phát triển khoa học và công nghệ,0,0,0,0,0
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"29,948","31,727","32,784","35,364","35,797"
I. Vốn chủ sở hữu,"29,946","31,724","32,781","35,361","35,794"
1. Vốn góp của chủ sở hữu,"12,700","12,700","14,604","14,604","14,711"
- Cổ phiếu phổ thông có quyền biểu quyết,"12,700","12,700","14,604","14,604","14,711"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,50,50,50,50,50
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,"1,929","1,928","1,928","1,928","1,929"
5. Cổ phiếu quỹ (*),,,,,
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,-17,-39,-54,-30,-49
8. Quỹ đầu tư phát triển,"1,560","1,627","1,690","1,786","2,109"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,87,88,88,88,88
11. Lợi nhuận sau thuế chưa phân phối,"8,679","10,479","9,177","11,264","11,024"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"4,471","8,681","5,505","5,502","5,458"
- LNST chưa phân phối kỳ này,"4,209","1,798","3,672","5,762","5,565"
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,"4,958","4,893","5,299","5,671","5,934"
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,3,3,3,3,3
1. Nguồn kinh phí,3,3,3,3,3
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"60,325","62,025","65,322","67,582","72,013"
