FPT,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"9,213","9,964","12,615","9,607","10,089"
2. Các khoản giảm trừ doanh thu,255,209,216,189,142
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"8,959","9,755","12,400","9,418","9,947"
4. Giá vốn hàng bán,"7,025","7,539","9,612","7,343","7,515"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,934","2,217","2,787","2,076","2,432"
6.Doanh thu hoạt động tài chính,159,140,240,166,163
7. Chi phí tài chính,224,192,280,200,189
Trong đó :Chi phí lãi vay,107,104,103,113,100
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",10,8,10,10,11
9. Chi phí bán hàng,576,698,841,729,722
10. Chi phí quản lý doanh nghiệp,630,725,931,692,915
11. Lợi nhuận thuần từ hoạt động kinh doanh,673,749,986,630,779
12. Thu nhập khác,32,17,34,26,17
13. Chi phí khác,12,12,17,13,12
14. Lợi nhuận khác,20,5,16,13,4
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,0,
15. Tổng lợi nhuận kế toán trước thuế,694,754,"1,002",643,783
16. Chi phí thuế TNDN hiện hành,75,88,177,107,98
17. Chi phí thuế TNDN hoãn lại,-10,-1,-6,-4,15
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,629,667,832,540,670
Lợi ích của cổ đông thiểu số,515,200,170,127,159
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,114,468,661,413,512
19. Lãi cơ bản trên cổ phiếu (*),"1,125","1,020","1,026",899,967
20. Lãi suy giảm trên cổ phiếu (*),"1,125",,"1,026",899,967
