FPT,Q4/2008,Q1/2009,Q2/2009,Q3/2009,Q4/2009
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"9,113","7,439","8,799","8,377","14,984"
2. Các khoản giảm trừ doanh thu,0,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"9,113","7,439","8,799","8,377","14,984"
4. Giá vốn hàng bán,"8,097","6,563","7,864","7,327","13,612"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,016",876,936,"1,050","1,372"
6.Doanh thu hoạt động tài chính,70,26,42,39,96
7. Chi phí tài chính,82,72,74,49,257
Trong đó :Chi phí lãi vay,12,13,16,16,65
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,277,211,232,242,375
10. Chi phí quản lý doanh nghiệp,312,239,294,314,480
11. Lợi nhuận thuần từ hoạt động kinh doanh,415,381,378,485,356
12. Thu nhập khác,71,31,38,55,68
13. Chi phí khác,52,27,34,73,22
14. Lợi nhuận khác,19,4,3,-18,46
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,-29,7,14,18,29
15. Tổng lợi nhuận kế toán trước thuế,406,392,395,485,430
16. Chi phí thuế TNDN hiện hành,58,73,84,79,78
17. Chi phí thuế TNDN hoãn lại,-13,2,-3,0,-14
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,361,317,315,406,367
Lợi ích của cổ đông thiểu số,30,98,83,84,78
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,330,220,232,322,288
19. Lãi cơ bản trên cổ phiếu (*),"2,372","1,557","1,645","2,286","1,998"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
