FPT,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"11,038","10,282","9,907","11,274","11,270"
I. Tiền và các khoản tương đương tiền,"2,793","2,286","1,928","2,156","2,292"
1. Tiền,"1,096","1,457",829,"1,332","1,163"
2. Các khoản tương đương tiền,"1,697",830,"1,099",824,"1,129"
II.  Đầu tư tài chính ngắn hạn,"1,499",685,812,"1,357","1,204"
1. Chứng khoán kinh doanh,"1,499",701,828,"1,373","1,220"
2. Dự phòng giảm giá chứng khoán kinh doanh (*),-16,-16,-16,-16,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
III. Các khoản phải thu ngắn hạn,"3,339","3,834","3,378","3,895","4,065"
1. Phải thu ngắn hạn của khách hàng,"2,506","3,230","2,697","3,164","3,282"
2. Trả trước cho người bán ngắn hạn,306,237,324,290,316
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,285,272,247,275,307
5. Phải thu về cho vay ngắn hạn,,,,,
6. Phải thu ngắn hạn khác,369,276,307,380,389
7. Dự phòng phải thu ngắn hạn khó đòi (*),-127,-181,-198,-213,-228
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,"2,623","2,707","3,007","3,008","2,838"
1. Hàng tồn kho,"2,637","2,718","3,016","3,036","2,857"
2. Dự phòng giảm giá hàng tồn kho (*),-14,-11,-9,-28,-18
V. Tài sản ngắn hạn khác,783,770,781,858,870
1. Chi phí trả trước ngắn hạn,112,115,123,137,158
2. Thuế GTGT được khấu trừ,560,622,616,668,667
3. Thuế và các khoản khác phải thu của nhà nước,12,11,11,10,11
4. Giao dịch mua bán lại trái phiếu chính phủ,0,,,,
5. Tài sản ngắn hạn khác,99,23,30,43,34
B. TÀI SẢN DÀI HẠN,"3,654","3,988","4,152","4,249","4,439"
I. Các khoản phải thu dài hạn,1,1,1,1,1
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
4.  Phải thu nội bộ dài hạn,,,,,
5. Phải thu về cho vay dài hạn,,,,,
6. Phải thu dài hạn khác,1,1,1,1,1
7. Dự phòng phải thu dài hạn khó đòi (*),,,,,
II. Tài sản cố định,"2,202","2,618","2,745","2,798","2,940"
1. Tài sản cố định hữu hình,"1,521","1,807","1,928","1,994","2,096"
- Nguyên giá,"2,931","3,396","3,592","3,665","3,858"
- Giá trị hao mòn lũy kế (*),"-1,410","-1,589","-1,664","-1,671","-1,762"
2. Tài sản cố định thuê tài chính,1,1,1,0,0
