FPT,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"8,664","8,687","10,715","9,732","10,097"
2. Các khoản giảm trừ doanh thu,22,-38,11,2,1
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"8,642","8,725","10,704","9,730","10,096"
4. Giá vốn hàng bán,"5,181","5,474","6,610","5,777","6,081"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"3,460","3,251","4,094","3,953","4,015"
6.Doanh thu hoạt động tài chính,241,332,373,416,506
7. Chi phí tài chính,362,273,367,268,337
Trong đó :Chi phí lãi vay,125,120,138,146,177
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",150,148,273,209,86
9. Chi phí bán hàng,830,804,"1,226","1,007","1,016"
10. Chi phí quản lý doanh nghiệp,"1,135","1,071","1,407","1,531","1,418"
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,524","1,583","1,740","1,773","1,836"
12. Thu nhập khác,21,60,30,32,39
13. Chi phí khác,5,4,9,25,18
14. Lợi nhuận khác,16,56,21,6,22
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,539","1,639","1,760","1,779","1,858"
16. Chi phí thuế TNDN hiện hành,276,238,218,264,284
17. Chi phí thuế TNDN hoãn lại,3,26,-17,-24,12
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,260","1,375","1,560","1,539","1,562"
Lợi ích của cổ đông thiểu số,260,250,258,300,311
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"1,000","1,125","1,302","1,239","1,251"
19. Lãi cơ bản trên cổ phiếu (*),"1,105","1,242","1,001","1,365","1,145"
20. Lãi suy giảm trên cổ phiếu (*),"1,105","1,242","1,001","1,365","1,145"
