FPT,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"9,330","10,141","13,832","8,937","9,667"
2. Các khoản giảm trừ doanh thu,0,0,0,0,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"9,330","10,141","13,832","8,937","9,667"
4. Giá vốn hàng bán,"8,039","8,896","12,179","7,820","8,423"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,291","1,244","1,653","1,117","1,244"
6.Doanh thu hoạt động tài chính,168,222,120,110,129
7. Chi phí tài chính,175,177,136,123,123
Trong đó :Chi phí lãi vay,92,99,55,55,86
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,190,224,259,166,209
10. Chi phí quản lý doanh nghiệp,444,441,718,378,448
11. Lợi nhuận thuần từ hoạt động kinh doanh,649,624,661,560,593
12. Thu nhập khác,39,34,116,29,49
13. Chi phí khác,30,27,102,24,32
14. Lợi nhuận khác,9,7,13,5,18
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,31,31,-26,13,16
15. Tổng lợi nhuận kế toán trước thuế,688,662,649,578,627
16. Chi phí thuế TNDN hiện hành,131,127,59,110,96
17. Chi phí thuế TNDN hoãn lại,4,-4,10,8,1
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,553,540,580,460,529
Lợi ích của cổ đông thiểu số,138,26,117,120,117
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,415,513,463,341,412
19. Lãi cơ bản trên cổ phiếu (*),"2,148","2,064","2,163","1,577","1,212"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
