LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"1,961","1,648",750,"1,913",805
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,34,39,39,42,-43
Các khoản dự phòng,298,294,137,33,110
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",-322,246,-72,-1,-22
"Lãi, lỗ từ hoạt động đầu tư",-5,-24,-96,-201,-35
Chi phí lãi vay,68,58,82,101,110
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,3,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"2,034","2,262",841,"1,888",925
"Tăng, giảm các khoản phải thu","-1,697","-2,913","-3,219","-2,697","-1,016"
"Tăng, giảm hàng tồn kho",-104,35,-176,43,-94
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","2,565",-864,"2,048",-542,"1,184"
"Tăng, giảm chi phí trả trước",255,521,-478,-31,647
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-76,-43,-93,-76,-106
Thuế thu nhập doanh nghiệp đã nộp,-90,-106,-85,,-280
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"2,887","-1,108","-1,162","-1,414","1,259"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",590,"-2,302",694,442,"-1,079"
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,,,,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,-200,,,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,,200,350,1
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,-142,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,3,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",50,34,132,83,51
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,1,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,640,"-2,467","1,028",734,"-1,027"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,"-2,347",
3. Tiền thu từ đi vay,"8,360","6,448","8,105","11,073","12,163"
4. Tiền trả nợ gốc vay,"-9,555","-4,937","-7,266","-9,666","-9,593"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-14,,-542,1,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-1,209","1,511",297,-938,"2,569"
Lưu chuyển tiền thuần trong kỳ,"2,319","-2,064",163,"-1,619","2,801"
Tiền và tương đương tiền đầu kỳ,"4,890","7,165","5,098","4,915","3,168"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,-44,-2,4,-128,106
Tiền và tương đương tiền cuối kỳ,"7,165","5,098","5,265","3,168","6,076"
