SSI,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. DOANH THU HOẠT ĐỘNG,,,,,
1.1. Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),595,335,795,625,427
a. Lãi bán các tài sản tài chính,360,155,450,358,217
b. Chênh lệch tăng đánh giá lại các TSTC thông qua lãi/lỗ,47,56,44,62,8
"c. Cổ tức, tiền lãi phát sinh từ tài sản tài chính PVTPL",135,105,97,178,166
d. Chênh lệch giảm do đánh giá lại phải trả chứng quyền đang lưu hành,53,19,205,28,36
1.2. Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),158,216,175,130,123
1.3. Lãi từ các khoản cho vay và phải thu,338,432,556,566,483
1.4. Lãi từ các tài sản tài chính sẵn sàng để bán (AFS),,1,0,,3
1.5. Lãi từ các công cụ phái sinh phòng ngừa rủi ro,,,,,
1.6. Doanh thu môi giới chứng khoán,623,667,792,599,449
"- Doanh thu hoạt động đầu tư chứng khoán, góp vốn",,,,,
"1.7. Doanh thu bảo lãnh phát hành, đại lý phát hành chứng khoán",3,5,8,20,10
- Doanh thu quản lý danh mục đầu tư cho  người uỷ thác đầu tư,,,,,
1.8. Doanh thu hoạt động tư vấn,10,33,32,8,31
1.9. Doanh thu hoạt động ủy thác đấu giá,,,,,
1.10. Doanh thu lưu ký chứng khoán,8,9,10,9,9
- Doanh thu cho thuê sử dụng tài sản,,,,,
1.11. Thu nhập hoạt động khác,31,50,55,49,93
Các khoản giảm trừ doanh thu,,,,,
Cộng doanh thu hoạt động (01->11),"1,766","1,748","2,423","2,008","1,629"
Doanh thu thuần,"1,766","1,748","2,423","2,008","1,629"
II. CHI PHÍ HOẠT ĐỘNG,,,,,
2.1. Lỗ các tài sản tài chính ghi nhận thông qua lỗ (FVTPL),306,225,428,322,276
a. Lỗ bán các tài sản tài chính,217,144,346,118,180
b. Chênh lệch giảm đánh giá lại các TSTC thông qua lãi/lỗ,85,29,76,35,95
c. Chi phí giao dịch mua các tài sản tài chính (FVTPL),1,1,2,1,1
d. Chênh lệch tăng do đánh giá lại phải trả chứng quyền đang lưu hành,2,51,4,169,
2.2. Lỗ các khoản đầu tư năm giữ đến ngày đáo hạn (HTM),,,,,
"2.3. Chi phí lãi vay, lỗ từ các khoản cho vay và phải thu",,,,,
2.4 Lỗ bán các tài sản tài chính sẵn sàng để bán (AFS),,,,,
"Chi phí dự phòng TSTC, xử lý tổn thất các khoản phải thu khó đòi và lỗ suy giảm TSTC và chi phí đi vay của các khoản cho vay",0,-13,-20,0,-1
2.5. Lỗ từ các tài sản tài chính phái sinh phòng ngừa rủi ro,,,,,
2.6. Chi phí hoạt động tự doanh,8,6,35,20,8
2.7. Chi phí môi giới chứng khoán,370,369,498,388,332
"2.8. Chi phí hoạt động bảo lãnh, đại lý phát hành chứng  khoán",2,1,5,4,2
2.9. Chi phí tư vấn,13,12,16,7,13
"2.10. Chi phí hoạt động đấu giá, ủy thác",,,,,
2.11. Chi phí lưu ký chứng khoán,10,10,12,10,11
2.12. Chi phí khác,37,34,97,64,55
"Trong đó: Chi phí sửa lỗi giao dịch chứng khoán, lỗi khác",,,,,
- Chi phí trực tiếp hoạt động kinh doanh chứng khoán,,,,,
- Chi phí dự phòng chứng khoán,,,,,
Cộng chi phí hoạt động (21->33),746,643,"1,070",816,695
