SSI,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. DOANH THU HOẠT ĐỘNG,,,,,
1.1. Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),441,526,688,707,765
a. Lãi bán các tài sản tài chính,196,217,228,241,249
b. Chênh lệch tăng đánh giá lại các TSTC thông qua lãi/lỗ,17,30,84,23,34
"c. Cổ tức, tiền lãi phát sinh từ tài sản tài chính PVTPL",228,268,374,436,443
d. Chênh lệch giảm do đánh giá lại phải trả chứng quyền đang lưu hành,0,11,1,8,38
1.2. Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),82,82,112,134,113
1.3. Lãi từ các khoản cho vay và phải thu,406,345,338,360,431
1.4. Lãi từ các tài sản tài chính sẵn sàng để bán (AFS),0,0,0,4,1
1.5. Lãi từ các công cụ phái sinh phòng ngừa rủi ro,,,,,
1.6. Doanh thu môi giới chứng khoán,339,319,257,336,535
"- Doanh thu hoạt động đầu tư chứng khoán, góp vốn",,,,,
"1.7. Doanh thu bảo lãnh phát hành, đại lý phát hành chứng khoán",2,,,1,16
- Doanh thu quản lý danh mục đầu tư cho  người uỷ thác đầu tư,,,,,
1.8. Doanh thu hoạt động tư vấn,15,19,18,16,15
1.9. Doanh thu hoạt động ủy thác đấu giá,,,,,
1.10. Doanh thu lưu ký chứng khoán,10,11,10,11,9
- Doanh thu cho thuê sử dụng tài sản,,,,,
1.11. Thu nhập hoạt động khác,52,49,66,111,56
Các khoản giảm trừ doanh thu,,,,,
Cộng doanh thu hoạt động (01->11),"1,348","1,351","1,489","1,680","1,941"
Doanh thu thuần,"1,348","1,351","1,489","1,680","1,941"
II. CHI PHÍ HOẠT ĐỘNG,,,,,
2.1. Lỗ các tài sản tài chính ghi nhận thông qua lỗ (FVTPL),166,197,73,36,162
a. Lỗ bán các tài sản tài chính,79,153,56,17,92
b. Chênh lệch giảm đánh giá lại các TSTC thông qua lãi/lỗ,18,43,5,19,61
c. Chi phí giao dịch mua các tài sản tài chính (FVTPL),1,1,0,0,1
d. Chênh lệch tăng do đánh giá lại phải trả chứng quyền đang lưu hành,68,1,12,,7
2.2. Lỗ các khoản đầu tư năm giữ đến ngày đáo hạn (HTM),,,,,
"2.3. Chi phí lãi vay, lỗ từ các khoản cho vay và phải thu",,,,,
2.4 Lỗ bán các tài sản tài chính sẵn sàng để bán (AFS),,,,,
"Chi phí dự phòng TSTC, xử lý tổn thất các khoản phải thu khó đòi và lỗ suy giảm TSTC và chi phí đi vay của các khoản cho vay",0,-1,,,
2.5. Lỗ từ các tài sản tài chính phái sinh phòng ngừa rủi ro,,,,,
