SSI,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. DOANH THU HOẠT ĐỘNG,,,,,
1.1. Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),,,,,
a. Lãi bán các tài sản tài chính,,,,,
b. Chênh lệch tăng đánh giá lại các TSTC thông qua lãi/lỗ,,,,,
"c. Cổ tức, tiền lãi phát sinh từ tài sản tài chính PVTPL",,,,,
d. Chênh lệch giảm do đánh giá lại phải trả chứng quyền đang lưu hành,,,,,
1.2. Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),,,,,
1.3. Lãi từ các khoản cho vay và phải thu,,,,,
1.4. Lãi từ các tài sản tài chính sẵn sàng để bán (AFS),,,,,
1.5. Lãi từ các công cụ phái sinh phòng ngừa rủi ro,,,,,
1.6. Doanh thu môi giới chứng khoán,22,27,20,29,37
"- Doanh thu hoạt động đầu tư chứng khoán, góp vốn",77,49,44,42,69
"1.7. Doanh thu bảo lãnh phát hành, đại lý phát hành chứng khoán",0,0,0,0,0
- Doanh thu quản lý danh mục đầu tư cho  người uỷ thác đầu tư,6,4,1,7,4
1.8. Doanh thu hoạt động tư vấn,21,3,3,10,6
1.9. Doanh thu hoạt động ủy thác đấu giá,0,0,0,0,0
1.10. Doanh thu lưu ký chứng khoán,0,1,1,1,1
- Doanh thu cho thuê sử dụng tài sản,119,1,1,2,4
1.11. Thu nhập hoạt động khác,0,123,92,74,109
Các khoản giảm trừ doanh thu,0,0,0,0,0
Cộng doanh thu hoạt động (01->11),245,209,162,164,231
Doanh thu thuần,245,209,162,164,231
II. CHI PHÍ HOẠT ĐỘNG,,,,,
2.1. Lỗ các tài sản tài chính ghi nhận thông qua lỗ (FVTPL),,,,,
a. Lỗ bán các tài sản tài chính,,,,,
b. Chênh lệch giảm đánh giá lại các TSTC thông qua lãi/lỗ,,,,,
c. Chi phí giao dịch mua các tài sản tài chính (FVTPL),,,,,
d. Chênh lệch tăng do đánh giá lại phải trả chứng quyền đang lưu hành,,,,,
2.2. Lỗ các khoản đầu tư năm giữ đến ngày đáo hạn (HTM),,,,,
"2.3. Chi phí lãi vay, lỗ từ các khoản cho vay và phải thu",,,,,
2.4 Lỗ bán các tài sản tài chính sẵn sàng để bán (AFS),,,,,
"Chi phí dự phòng TSTC, xử lý tổn thất các khoản phải thu khó đòi và lỗ suy giảm TSTC và chi phí đi vay của các khoản cho vay",,,,,
2.5. Lỗ từ các tài sản tài chính phái sinh phòng ngừa rủi ro,,,,,
2.6. Chi phí hoạt động tự doanh,,,,,
2.7. Chi phí môi giới chứng khoán,,,,,
"2.8. Chi phí hoạt động bảo lãnh, đại lý phát hành chứng  khoán",,,,,
2.9. Chi phí tư vấn,,,,,
"2.10. Chi phí hoạt động đấu giá, ủy thác",,,,,
2.11. Chi phí lưu ký chứng khoán,,,,,
2.12. Chi phí khác,,,,,
"Trong đó: Chi phí sửa lỗi giao dịch chứng khoán, lỗi khác",,,,,
- Chi phí trực tiếp hoạt động kinh doanh chứng khoán,225,159,132,165,122
- Chi phí dự phòng chứng khoán,0,-42,-87,-163,80
Cộng chi phí hoạt động (21->33),225,117,44,1,202
Lợi nhuận gộp của hoạt động kinh doanh,20,92,118,163,28
III. DOANH THU HOẠT ĐỘNG TÀI CHÍNH,,,,,
3.1. Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện,,,,,
