SSI,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. DOANH THU HOẠT ĐỘNG,,,,,
1.1. Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),196,734,327,522,600
a. Lãi bán các tài sản tài chính,80,219,118,263,395
b. Chênh lệch tăng đánh giá lại các TSTC thông qua lãi/lỗ,48,431,98,110,65
"c. Cổ tức, tiền lãi phát sinh từ tài sản tài chính PVTPL",58,82,110,145,122
d. Chênh lệch giảm do đánh giá lại phải trả chứng quyền đang lưu hành,10,2,1,3,18
1.2. Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),259,250,191,150,171
1.3. Lãi từ các khoản cho vay và phải thu,145,108,117,154,246
1.4. Lãi từ các tài sản tài chính sẵn sàng để bán (AFS),159,4,68,0,
1.5. Lãi từ các công cụ phái sinh phòng ngừa rủi ro,0,,,,
1.6. Doanh thu môi giới chứng khoán,123,190,177,307,437
"- Doanh thu hoạt động đầu tư chứng khoán, góp vốn",0,,,,
"1.7. Doanh thu bảo lãnh phát hành, đại lý phát hành chứng khoán",14,4,11,3,12
- Doanh thu quản lý danh mục đầu tư cho  người uỷ thác đầu tư,0,,,,
1.8. Doanh thu hoạt động tư vấn,25,18,8,14,3
1.9. Doanh thu hoạt động ủy thác đấu giá,0,,,,
1.10. Doanh thu lưu ký chứng khoán,12,9,7,8,9
- Doanh thu cho thuê sử dụng tài sản,0,,,,
1.11. Thu nhập hoạt động khác,11,9,12,16,28
Các khoản giảm trừ doanh thu,0,,,,
Cộng doanh thu hoạt động (01->11),945,"1,327",920,"1,175","1,506"
Doanh thu thuần,945,"1,327",920,"1,175","1,506"
II. CHI PHÍ HOẠT ĐỘNG,,,,,
2.1. Lỗ các tài sản tài chính ghi nhận thông qua lỗ (FVTPL),493,225,113,171,384
