SSI,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. DOANH THU HOẠT ĐỘNG,,,,,
1.1. Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),138,190,257,114,170
a. Lãi bán các tài sản tài chính,54,87,178,64,42
b. Chênh lệch tăng đánh giá lại các TSTC thông qua lãi/lỗ,53,100,67,35,124
"c. Cổ tức, tiền lãi phát sinh từ tài sản tài chính PVTPL",31,3,12,15,4
d. Chênh lệch giảm do đánh giá lại phải trả chứng quyền đang lưu hành,,,,,
1.2. Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),118,134,147,164,192
1.3. Lãi từ các khoản cho vay và phải thu,131,151,180,201,156
1.4. Lãi từ các tài sản tài chính sẵn sàng để bán (AFS),50,124,27,29,17
1.5. Lãi từ các công cụ phái sinh phòng ngừa rủi ro,,,,,
1.6. Doanh thu môi giới chứng khoán,169,310,369,340,222
"- Doanh thu hoạt động đầu tư chứng khoán, góp vốn",,,,,
"1.7. Doanh thu bảo lãnh phát hành, đại lý phát hành chứng khoán",,1,,0,2
- Doanh thu quản lý danh mục đầu tư cho  người uỷ thác đầu tư,,,,,
1.8. Doanh thu hoạt động tư vấn,10,98,20,16,92
1.9. Doanh thu hoạt động ủy thác đấu giá,,,,,
1.10. Doanh thu lưu ký chứng khoán,3,3,3,4,4
- Doanh thu cho thuê sử dụng tài sản,,,,,
1.11. Thu nhập hoạt động khác,13,15,22,28,19
Các khoản giảm trừ doanh thu,,,,,
Cộng doanh thu hoạt động (01->11),632,"1,026","1,025",895,874
Doanh thu thuần,632,"1,026","1,025",895,874
II. CHI PHÍ HOẠT ĐỘNG,,,,,
2.1. Lỗ các tài sản tài chính ghi nhận thông qua lỗ (FVTPL),162,195,152,213,36
a. Lỗ bán các tài sản tài chính,32,105,13,50,22
b. Chênh lệch giảm đánh giá lại các TSTC thông qua lãi/lỗ,130,90,139,162,13
c. Chi phí giao dịch mua các tài sản tài chính (FVTPL),0,0,0,0,0
d. Chênh lệch tăng do đánh giá lại phải trả chứng quyền đang lưu hành,,,,,
2.2. Lỗ các khoản đầu tư năm giữ đến ngày đáo hạn (HTM),,,,,
"2.3. Chi phí lãi vay, lỗ từ các khoản cho vay và phải thu",,,,-2,
2.4 Lỗ bán các tài sản tài chính sẵn sàng để bán (AFS),0,,,,1
"Chi phí dự phòng TSTC, xử lý tổn thất các khoản phải thu khó đòi và lỗ suy giảm TSTC và chi phí đi vay của các khoản cho vay",,,,,
2.5. Lỗ từ các tài sản tài chính phái sinh phòng ngừa rủi ro,,,,,
2.6. Chi phí hoạt động tự doanh,0,2,2,3,2
