SSI,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. DOANH THU HOẠT ĐỘNG,,,,,
1.1. Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),256,299,115,142,199
a. Lãi bán các tài sản tài chính,170,263,57,72,46
b. Chênh lệch tăng đánh giá lại các TSTC thông qua lãi/lỗ,63,24,54,70,141
"c. Cổ tức, tiền lãi phát sinh từ tài sản tài chính PVTPL",23,12,4,0,12
d. Chênh lệch giảm do đánh giá lại phải trả chứng quyền đang lưu hành,,,,,
1.2. Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),81,100,95,96,103
1.3. Lãi từ các khoản cho vay và phải thu,108,114,110,113,125
1.4. Lãi từ các tài sản tài chính sẵn sàng để bán (AFS),48,6,11,51,35
1.5. Lãi từ các công cụ phái sinh phòng ngừa rủi ro,,,0,0,
1.6. Doanh thu môi giới chứng khoán,91,124,85,115,186
"- Doanh thu hoạt động đầu tư chứng khoán, góp vốn",,,0,0,
"1.7. Doanh thu bảo lãnh phát hành, đại lý phát hành chứng khoán",0,1,1,6,
- Doanh thu quản lý danh mục đầu tư cho  người uỷ thác đầu tư,,,0,0,
1.8. Doanh thu hoạt động tư vấn,7,23,81,9,13
1.9. Doanh thu hoạt động ủy thác đấu giá,,,0,0,
1.10. Doanh thu lưu ký chứng khoán,2,2,3,3,3
- Doanh thu cho thuê sử dụng tài sản,,,0,0,
1.11. Thu nhập hoạt động khác,-16,19,82,10,32
Các khoản giảm trừ doanh thu,,,0,0,
Cộng doanh thu hoạt động (01->11),578,688,583,545,695
Doanh thu thuần,578,688,583,545,695
II. CHI PHÍ HOẠT ĐỘNG,,,,,
2.1. Lỗ các tài sản tài chính ghi nhận thông qua lỗ (FVTPL),20,50,107,63,66
a. Lỗ bán các tài sản tài chính,2,3,101,10,11
b. Chênh lệch giảm đánh giá lại các TSTC thông qua lãi/lỗ,18,47,6,53,56
c. Chi phí giao dịch mua các tài sản tài chính (FVTPL),0,0,0,0,0
d. Chênh lệch tăng do đánh giá lại phải trả chứng quyền đang lưu hành,,,,,
2.2. Lỗ các khoản đầu tư năm giữ đến ngày đáo hạn (HTM),,,0,0,
"2.3. Chi phí lãi vay, lỗ từ các khoản cho vay và phải thu",,,8,0,
2.4 Lỗ bán các tài sản tài chính sẵn sàng để bán (AFS),0,,1,0,
"Chi phí dự phòng TSTC, xử lý tổn thất các khoản phải thu khó đòi và lỗ suy giảm TSTC và chi phí đi vay của các khoản cho vay",,,,,
2.5. Lỗ từ các tài sản tài chính phái sinh phòng ngừa rủi ro,,,0,0,
2.6. Chi phí hoạt động tự doanh,1,1,1,0,4
2.7. Chi phí môi giới chứng khoán,81,94,78,82,137
"2.8. Chi phí hoạt động bảo lãnh, đại lý phát hành chứng  khoán",,,0,0,
2.9. Chi phí tư vấn,5,-1,12,16,9
"2.10. Chi phí hoạt động đấu giá, ủy thác",,,0,0,
2.11. Chi phí lưu ký chứng khoán,4,4,4,4,5
2.12. Chi phí khác,15,15,176,-61,11
"Trong đó: Chi phí sửa lỗi giao dịch chứng khoán, lỗi khác",0,,0,0,
- Chi phí trực tiếp hoạt động kinh doanh chứng khoán,,,0,0,
- Chi phí dự phòng chứng khoán,26,,0,0,
Cộng chi phí hoạt động (21->33),152,163,388,105,232
Lợi nhuận gộp của hoạt động kinh doanh,426,526,195,441,463
