SSI,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"6,950","6,623","6,934","6,366","4,120"
I. Tài sản tài chính ngắn hạn,,,,,
1. Tiền và các khoản tương đương tiền,"4,391","2,849","2,355","2,969","1,642"
1.1. Tiền,"2,605","1,579","1,260","1,243",979
1.2. Các khoản tương đương tiền,"1,786","1,270","1,095","1,726",663
Các khoản đầu tư tài chính ngắn hạn,"1,561","2,298","3,035","2,547","1,835"
+Đầu tư ngắn hạn,"1,626","2,406","3,157","2,775","2,179"
+Đầu tư ngắn hạn của người ủy thác Đầu tư,0,0,0,0,0
Dự phòng giảm giá đầu tư ngắn hạn,-65,-108,-122,-228,-344
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),,,,,
3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),,,,,
4. Các khoản cho vay,,,,,
5. Các tài sản tài chính sẵn sàn để bán (AFS),,,,,
6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,,,,,
7. Các khoản phải thu ngắn hạn,987,"1,470","1,537",833,625
7.1. Phải thu bán các tài sản tài chính,,,,,
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",,,,,
"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",,,,,
"Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được",,,,,
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",,,,,
Trả trước cho người bán,7,9,15,5,10
9. Phải thu các dịch vụ CTCK cung cấp,,,,,
Phải thu hoạt động giao dịch chứng khoán,54,1,0,0,0
10. Phải thu nội bộ ngắn hạn,0,0,0,0,0
11. Phải thu về lỗi giao dịch chứng khoán,,,,,
