SSI,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. DOANH THU HOẠT ĐỘNG,,,,,
1.1. Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),"1,007",910,"1,045",997,"1,069"
a. Lãi bán các tài sản tài chính,369,366,276,243,534
b. Chênh lệch tăng đánh giá lại các TSTC thông qua lãi/lỗ,36,50,80,211,36
"c. Cổ tức, tiền lãi phát sinh từ tài sản tài chính PVTPL",555,484,625,499,458
d. Chênh lệch giảm do đánh giá lại phải trả chứng quyền đang lưu hành,47,10,64,45,41
1.2. Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),114,106,90,61,70
1.3. Lãi từ các khoản cho vay và phải thu,439,447,513,549,571
1.4. Lãi từ các tài sản tài chính sẵn sàng để bán (AFS),1,2,1,4,-2
1.5. Lãi từ các công cụ phái sinh phòng ngừa rủi ro,,,,,
1.6. Doanh thu môi giới chứng khoán,374,449,559,340,319
"- Doanh thu hoạt động đầu tư chứng khoán, góp vốn",,,,,
"1.7. Doanh thu bảo lãnh phát hành, đại lý phát hành chứng khoán",4,,0,0,10
- Doanh thu quản lý danh mục đầu tư cho  người uỷ thác đầu tư,,,,,
1.8. Doanh thu hoạt động tư vấn,22,9,30,9,15
1.9. Doanh thu hoạt động ủy thác đấu giá,,,,,
1.10. Doanh thu lưu ký chứng khoán,9,9,9,9,10
- Doanh thu cho thuê sử dụng tài sản,,,,,
1.11. Thu nhập hoạt động khác,75,41,59,58,159
Các khoản giảm trừ doanh thu,,,,,
Cộng doanh thu hoạt động (01->11),"2,047","1,973","2,307","2,028","2,221"
Doanh thu thuần,"2,047","1,973","2,307","2,028","2,221"
II. CHI PHÍ HOẠT ĐỘNG,,,,,
2.1. Lỗ các tài sản tài chính ghi nhận thông qua lỗ (FVTPL),386,167,388,242,661
a. Lỗ bán các tài sản tài chính,218,81,230,193,300
b. Chênh lệch giảm đánh giá lại các TSTC thông qua lãi/lỗ,130,21,148,5,279
c. Chi phí giao dịch mua các tài sản tài chính (FVTPL),2,1,2,2,4
