SSI,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"4,130","4,351","3,224","3,905","4,909"
I. Tài sản tài chính ngắn hạn,,,,,
1. Tiền và các khoản tương đương tiền,"2,150","2,540","1,946","2,154","2,565"
1.1. Tiền,860,"1,018",730,"1,112",955
1.2. Các khoản tương đương tiền,"1,290","1,522","1,216","1,042","1,610"
Các khoản đầu tư tài chính ngắn hạn,"1,435","1,362",869,"1,109","1,604"
+Đầu tư ngắn hạn,"1,784","1,679","1,053","1,312","1,820"
+Đầu tư ngắn hạn của người ủy thác Đầu tư,48,72,119,0,0
Dự phòng giảm giá đầu tư ngắn hạn,-397,-389,-303,-202,-216
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),,,,,
3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),,,,,
4. Các khoản cho vay,,,,,
5. Các tài sản tài chính sẵn sàn để bán (AFS),,,,,
6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,,,,,
7. Các khoản phải thu ngắn hạn,532,442,398,633,734
7.1. Phải thu bán các tài sản tài chính,,,,,
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",,,,,
"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",,,,,
"Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được",,,,,
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",,,,,
Trả trước cho người bán,12,4,2,7,11
9. Phải thu các dịch vụ CTCK cung cấp,,,,,
Phải thu hoạt động giao dịch chứng khoán,15,0,0,5,0
10. Phải thu nội bộ ngắn hạn,0,0,0,0,0
11. Phải thu về lỗi giao dịch chứng khoán,,,,,
12. Các khoản phải thu khác,103,91,122,113,247
13. Dự phòng suy giảm giá trị các khoản phải thu,,,,,
Dự phòng các khoản phải thu ngắn hạn khó đòi,-6,-6,-18,-18,-18
Phải thu khách hàng,407,352,291,526,493
Hàng tồn kho,0,0,0,0,0
Hàng tồn kho (chi tiết),0,0,0,0,0
Dự phòng giảm giá hàng tồn kho,0,0,0,0,0
II. Tài sản ngắn hạn khác,13,7,11,9,6
1. Tạm ứng,,,,,
"2. Vật tư văn phòng, công cụ, dụng cụ",,,,,
3. Chi phí trả trước ngắn hạn,10,4,5,7,4
"4. Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn",,,,,
8. Thuế GTGT còn được khấu trừ,1,0,0,0,0
Thuế và các khoản khác phải thu của nhà nước,0,0,3,0,0
Giao dịch mua bán lại trái phiếu Chính phủ (TS),0,0,0,0,0
5. Tài sản ngắn hạn khác,3,3,2,2,2
6. Dự phòng suy giảm giá trị tài sản ngắn hạn khác,,,,,
B. TÀI SẢN DÀI HẠN,"2,427","2,503","3,284","3,445","3,320"
I. Tài sản tài chính dài hạn,,,,,
1. Các khoản phải thu dài hạn,0,0,0,0,0
1.1. Phải thu dài hạn của khách hàng,0,0,0,0,0
1.2. Vốn kinh doanh ở các đơn vị trực thuộc,0,0,0,0,0
1.3.  Phải thu dài hạn nội bộ,0,0,0,0,0
1.4. Phải thu dài hạn khác,0,0,0,0,0
1.5. Dự phòng phải thu dài hạn khó đòi,0,0,0,0,0
2. Các khoản đầu tư,"2,014","1,974","2,773","2,875","2,816"
