SSI,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. DOANH THU HOẠT ĐỘNG,,,,,
1.1. Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),,,,,
a. Lãi bán các tài sản tài chính,,,,,
b. Chênh lệch tăng đánh giá lại các TSTC thông qua lãi/lỗ,,,,,
"c. Cổ tức, tiền lãi phát sinh từ tài sản tài chính PVTPL",,,,,
d. Chênh lệch giảm do đánh giá lại phải trả chứng quyền đang lưu hành,,,,,
1.2. Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),,,,,
1.3. Lãi từ các khoản cho vay và phải thu,,,,,
1.4. Lãi từ các tài sản tài chính sẵn sàng để bán (AFS),,,,,
1.5. Lãi từ các công cụ phái sinh phòng ngừa rủi ro,,,,,
1.6. Doanh thu môi giới chứng khoán,22,19,34,36,28
"- Doanh thu hoạt động đầu tư chứng khoán, góp vốn",64,102,33,43,45
"1.7. Doanh thu bảo lãnh phát hành, đại lý phát hành chứng khoán",0,,,0,0
- Doanh thu quản lý danh mục đầu tư cho  người uỷ thác đầu tư,1,3,0,1,1
1.8. Doanh thu hoạt động tư vấn,6,58,2,6,6
1.9. Doanh thu hoạt động ủy thác đấu giá,0,,,,
1.10. Doanh thu lưu ký chứng khoán,1,1,1,2,1
- Doanh thu cho thuê sử dụng tài sản,4,3,2,2,3
1.11. Thu nhập hoạt động khác,84,87,94,90,94
Các khoản giảm trừ doanh thu,0,,,,
Cộng doanh thu hoạt động (01->11),181,273,167,179,177
Doanh thu thuần,181,273,167,179,177
II. CHI PHÍ HOẠT ĐỘNG,,,,,
2.1. Lỗ các tài sản tài chính ghi nhận thông qua lỗ (FVTPL),,,,,
a. Lỗ bán các tài sản tài chính,,,,,
b. Chênh lệch giảm đánh giá lại các TSTC thông qua lãi/lỗ,,,,,
c. Chi phí giao dịch mua các tài sản tài chính (FVTPL),,,,,
d. Chênh lệch tăng do đánh giá lại phải trả chứng quyền đang lưu hành,,,,,
2.2. Lỗ các khoản đầu tư năm giữ đến ngày đáo hạn (HTM),,,,,
"2.3. Chi phí lãi vay, lỗ từ các khoản cho vay và phải thu",,,,,
2.4 Lỗ bán các tài sản tài chính sẵn sàng để bán (AFS),,,,,
"Chi phí dự phòng TSTC, xử lý tổn thất các khoản phải thu khó đòi và lỗ suy giảm TSTC và chi phí đi vay của các khoản cho vay",,,,,
2.5. Lỗ từ các tài sản tài chính phái sinh phòng ngừa rủi ro,,,,,
2.6. Chi phí hoạt động tự doanh,,,,,
2.7. Chi phí môi giới chứng khoán,,,,,
