SSI,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. DOANH THU HOẠT ĐỘNG,,,,,
1.1. Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),106,146,135,181,237
a. Lãi bán các tài sản tài chính,26,77,55,67,144
b. Chênh lệch tăng đánh giá lại các TSTC thông qua lãi/lỗ,23,69,45,103,32
"c. Cổ tức, tiền lãi phát sinh từ tài sản tài chính PVTPL",57,0,34,12,37
d. Chênh lệch giảm do đánh giá lại phải trả chứng quyền đang lưu hành,,,,,25
1.2. Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),214,215,254,269,253
1.3. Lãi từ các khoản cho vay và phải thu,173,157,178,180,163
1.4. Lãi từ các tài sản tài chính sẵn sàng để bán (AFS),137,0,31,13,40
1.5. Lãi từ các công cụ phái sinh phòng ngừa rủi ro,,,,,
1.6. Doanh thu môi giới chứng khoán,200,154,131,148,149
"- Doanh thu hoạt động đầu tư chứng khoán, góp vốn",,,,,
"1.7. Doanh thu bảo lãnh phát hành, đại lý phát hành chứng khoán",0,1,3,9,16
- Doanh thu quản lý danh mục đầu tư cho  người uỷ thác đầu tư,,,,,
1.8. Doanh thu hoạt động tư vấn,24,12,13,31,15
1.9. Doanh thu hoạt động ủy thác đấu giá,,,,,
1.10. Doanh thu lưu ký chứng khoán,5,6,7,6,14
- Doanh thu cho thuê sử dụng tài sản,,,,,
1.11. Thu nhập hoạt động khác,19,19,20,12,16
Các khoản giảm trừ doanh thu,,,,,
Cộng doanh thu hoạt động (01->11),878,709,771,851,904
Doanh thu thuần,878,709,771,851,904
II. CHI PHÍ HOẠT ĐỘNG,,,,,
2.1. Lỗ các tài sản tài chính ghi nhận thông qua lỗ (FVTPL),222,78,66,93,145
a. Lỗ bán các tài sản tài chính,25,35,13,48,37
b. Chênh lệch giảm đánh giá lại các TSTC thông qua lãi/lỗ,196,42,52,45,107
c. Chi phí giao dịch mua các tài sản tài chính (FVTPL),0,0,1,1,1
d. Chênh lệch tăng do đánh giá lại phải trả chứng quyền đang lưu hành,,,,,1
