LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,Chưa kiểm toán,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"2,488","2,750","2,608","2,577","2,848"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,497,551,556,565,585
Các khoản dự phòng,6,-14,-7,,-47
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",-1,-10,38,-33,21
"Lãi, lỗ từ hoạt động đầu tư",-22,-25,-47,-42,2
Chi phí lãi vay,131,135,118,135,142
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,5,-15,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"3,104","3,371","3,267","3,203","3,551"
"Tăng, giảm các khoản phải thu",99,-605,82,-618,120
"Tăng, giảm hàng tồn kho",-655,-719,544,"-1,531","-1,502"
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",-572,283,-244,925,44
"Tăng, giảm chi phí trả trước",-28,-38,-269,-250,17
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-128,-134,-112,-139,-131
Thuế thu nhập doanh nghiệp đã nộp,-25,-822,-332,-103,-412
Tiền thu khác từ hoạt động kinh doanh,-4,,,,
Tiền chi khác cho hoạt động kinh doanh,1,-69,-182,-26,-29
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"1,792","1,266","2,755","1,459","1,658"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","-3,459","-3,207","-2,661","-6,536","-10,643"
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",1,,57,6,1
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-11,824","5,301","-2,615","-3,916","-3,303"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","7,687","-3,270","5,440","3,254","5,156"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,-41,-116,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,1,,15,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,57,345,221,258
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-7,568","-1,159",450,"-6,957","-8,532"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","5,047",,,11,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"10,371","9,618","8,465","14,032","15,180"
4. Tiền trả nợ gốc vay,"-8,863","-8,051","-9,271","-9,887","-9,648"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,-1,-1,-2,-1
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"6,554","1,566",-806,"4,154","5,530"
Lưu chuyển tiền thuần trong kỳ,778,"1,673","2,398","-1,344","-1,343"
Tiền và tương đương tiền đầu kỳ,"1,813","2,592","4,265","6,663","5,319"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,1
Tiền và tương đương tiền cuối kỳ,"2,592","4,265","6,663","5,319","3,976"
