LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q1/2007,Q2/2007,Q3/2007,Q4/2007,Q1/2008
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,,,,759,
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,,,,116,
Các khoản dự phòng,,,,12,
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,,,2,
"Lãi, lỗ từ hoạt động đầu tư",,,,-24,
Chi phí lãi vay,,,,40,
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,,,906,
"Tăng, giảm các khoản phải thu",,,,-470,
"Tăng, giảm hàng tồn kho",,,,-729,
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",,,,177,
"Tăng, giảm chi phí trả trước",,,,3,
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,,,,-38,
Thuế thu nhập doanh nghiệp đã nộp,,,,-61,
Tiền thu khác từ hoạt động kinh doanh,,,,36,
Tiền chi khác cho hoạt động kinh doanh,,,,-128,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,,,,-303,
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",,,,-179,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,,,71,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,,,-289,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,,,23,
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,-935,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,,,14,
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,,,,"-1,295",
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,"2,410",
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,,,,"2,262",
4. Tiền trả nợ gốc vay,,,,"-2,518",
5. Tiền trả nợ gốc thuê tài chính,,,,-16,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,,,-219,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,,,,"1,920",
Lưu chuyển tiền thuần trong kỳ,,,,321,
Tiền và tương đương tiền đầu kỳ,,,,,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,
Tiền và tương đương tiền cuối kỳ,,,,399,
