BVH,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Soát xét,Chưa kiểm toán
Công ty kiểm toán,,EY,,EY,
Ý kiến kiểm toán,,Chấp nhận toàn phần,,Chấp nhận toàn phần,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN (100=110+120+130+140+150+190),"24,450","25,672","29,515","30,562","37,007"
I.   Tiền và các khoản tương đương tiền,"2,720","2,591","2,878","1,462","4,523"
1. Tiền,993,"1,448","1,379",900,"1,078"
2. Các khoản tương đương tiền,"1,727","1,143","1,499",562,"3,445"
II.  Đầu tư tài chính ngắn hạn,"15,868","17,129","20,167","22,180","25,609"
1. Chứng khoán kinh doanh,"2,158","2,263","2,722","2,248","2,151"
2. Dự phòng giảm giá chứng khoán kinh doanh (*),-360,-359,-350,-342,-337
3. Đầu tư nắm giữ đến ngày đáo hạn,"14,071","15,225","17,795","20,274","23,795"
III. Các khoản phải thu ngắn hạn,"4,201","4,112","4,485","4,837","4,651"
1. Phải thu ngắn hạn của khách hàng,"3,140","3,287","3,516","3,491","3,400"
1.1. Phải thu về hợp đồng bảo hiểm,"1,178","1,107","1,360","1,364","1,483"
1.2. Phải thu khác của khách hàng,"1,962","2,180","2,156","2,127","1,918"
2. Trả trước cho người bán ngắn hạn,119,83,176,40,33
3. Phải thu nội bộ ngắn hạn,0,0,0,0,0
4. Phải thu về cho vay ngắn hạn,"1,046",883,920,"1,160","1,102"
5. Phải thu ngắn hạn khác,268,229,234,525,502
6. Dự phòng phải thu ngắn hạn khó đòi (*),-373,-370,-361,-379,-386
7. Tài sản thiếu chờ xử lý,0,0,0,0,0
8. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,0,0,0,0,0
IV. Hàng tồn kho,88,81,120,144,132
1. Hàng tồn kho,88,81,120,144,132
2. Dự phòng giảm giá hàng tồn kho,0,0,0,0,0
V. Tài sản ngắn hạn khác,429,435,522,453,483
1. Chi phí trả trước ngắn hạn,364,358,467,441,456
1.1. Chi phí hoa hồng chưa phân bổ,331,318,424,408,412
1.2. Chi phí trả trước ngắn hạn khác,33,39,43,34,45
2. Thuế GTGT còn được khấu trừ,1,2,11,5,11
3. Thuế và các khoản khác phải thu của nhà nước,0,0,44,0,0
4. Giao dịch mua bán lại trái phiếu Chính phủ,0,0,0,0,0
5. Tài sản ngắn hạn khác,65,76,0,7,15
VIII. Tài sản tái bảo hiểm,"1,145","1,324","1,343","1,485","1,609"
1. Dự phòng phí nhượng tái bảo hiểm,615,702,717,800,849
2. Dự phòng bồi thường nhượng tái bảo hiểm,530,623,625,685,759
B. TÀI SẢN DÀI HẠN (200=210+220+240+250+260+270),"39,914","41,752","43,564","44,546","45,880"
I. Các khoản phải thu dài hạn,57,46,66,63,66
1. Phải thu dài hạn của khách hàng,0,0,0,0,0
2. Trả trước cho người bán dài hạn,0,0,0,0,0
3. Vốn kinh doanh ở các đơn vị trực thuộc,0,0,0,0,0
4.  Phải thu dài hạn nội bộ,0,0,0,0,0
5. Phải thu về cho vay dài hạn,0,0,0,0,0
6. Phải thu dài hạn khác,57,46,66,63,66
6.1 Ký quỹ bảo hiểm,37,26,45,0,0
6.2. Phải thu dài hạn khác,20,21,21,63,66
7. Dự phòng phải thu dài hạn khó đòi,0,0,0,0,0
II. Tài sản cố định,"1,648","1,642","1,657","1,659","1,639"
1. Tài sản cố định hữu hình,827,830,835,848,834
- Nguyên giá,"1,820","1,846","1,873","1,909","1,919"
