LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Đơn lẻ,Mới nhất,Mới nhất,Mới nhất,Đơn lẻ
Kiểm toán,Chưa kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"3,616","3,901","3,804","4,789","4,848"
2. Chi phí lãi và các chi phí tương tự đã trả,"-2,899","-2,495","-2,823","-2,421","-3,572"
3. Thu nhập từ hoạt động dịch vụ nhận được,103,107,136,281,165
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",41,23,53,18,64
5. Thu nhập khác,,93,-15,-14,
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",16,18,24,77,63
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",-933,-905,"-1,379",-978,"-1,125"
8. Tiền thuế thu nhập thực nộp trong kỳ,-111,-120,,-231,-229
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,-168,622,-199,"1,520",215
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác","1,001",500,400,84,"-1,959"
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"-1,355","-1,617","1,397","3,063","1,557"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,-20,-80,-29,-2,2
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-3,989","-7,812","-6,826","-17,472","-6,118"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,,-345,-17,-22,
14. (Tăng)/Giảm khác về tài sản hoạt động,-243,-39,525,379,-176
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,-8,-15,-17,-22,-15
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","-7,117","17,107","-19,791","7,013","2,567"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"7,154",-84,"10,694","19,915","3,153"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),-9,"-5,326","6,575","2,855","-3,635"
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",20,"-1,179",,,
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,
21. Tăng/(Giảm) khác về công nợ hoạt động,275,57,12,-159,222
22. Chi từ các quỹ của TCTD,,-189,-1,-5,-2
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"-4,460","1,602","-7,278","17,147","-4,188"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-21,-149,-8,-139,-28
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",1,4,2,-7,2
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",-1,-4,-2,7,-2
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",,,,,
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,9,,,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,,,,
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-21,-139,-8,-138,-28
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,,,,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,,,,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,,,,,
IV- Lưu chuyển tiền thuần trong kỳ,"-4,481","1,462","-7,286","17,008","-4,216"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,"17,098",,,,"23,801"
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,,,,,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"12,617","1,462","-7,286","17,008","19,585"
