LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q3/2014,Q1/2015,Q2/2015,Q3/2015,Q1/2016
Giai đoạn,01/07-30/09,01/01-31/03,01/04-30/06,01/07-30/09,01/01-31/03
Hợp nhất,Mới nhất,Đơn lẻ,Mới nhất,Mới nhất,Đơn lẻ
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"-1,349","1,257","1,357","1,575","2,062"
2. Chi phí lãi và các chi phí tương tự đã trả,890,"-1,201",-797,-780,"-1,163"
3. Thu nhập từ hoạt động dịch vụ nhận được,70,-62,-82,-69,-67
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",-7,-8,2,33,60
5. Thu nhập khác,37,-11,-48,18,-53
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",,,,,
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",332,-200,-425,-37,-198
8. Tiền thuế thu nhập thực nộp trong kỳ,38,-26,,-13,-49
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,11,-251,7,726,592
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác","-1,345","1,963",-580,"1,964",-521
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"6,024",-771,"4,203","1,470","-3,051"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,"-1,048",,-8,-12,-21
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-2,935","-6,673","-3,268","-4,713","-2,480"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,-5,,1,43,
14. (Tăng)/Giảm khác về tài sản hoạt động,"7,256",-910,372,"-1,202",-776
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,-3,204,-205,11,"-5,714"
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","8,819","-1,035","-3,295","2,175","-2,840"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"-3,690","3,483","2,017","2,036","13,942"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),,,,,
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","-1,646",11,11,11,-2
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"1,009",-43,-2,11,
21. Tăng/(Giảm) khác về công nợ hoạt động,223,37,-33,268,130
22. Chi từ các quỹ của TCTD,18,-1,-44,61,-43
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"12,689","-3,987",-824,"2,848",-783
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,60,-61,-68,-54,11
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",-1,,,,
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,,,-1
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",-300,,,,
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,,,,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,,,,
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-242,-61,-68,-54,11
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,,,,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",-65,-129,,,-291
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,-65,-129,,,-291
IV- Lưu chuyển tiền thuần trong kỳ,"12,383","-4,177",-892,"2,794","-1,063"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,"-10,020","7,946",,,"7,039"
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,-4,1,-1,2,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"2,359","3,771",-894,"2,796","5,976"
