LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"1,264","1,670","1,974","1,499","1,398"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,548,628,580,625,569
Các khoản dự phòng,-5,23,7,64,-2
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",6,10,-15,4,-18
"Lãi, lỗ từ hoạt động đầu tư",-332,344,-905,-238,-468
Chi phí lãi vay,130,156,176,126,114
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"1,611","2,832","1,817","2,081","1,592"
"Tăng, giảm các khoản phải thu",256,-154,-205,-260,701
"Tăng, giảm hàng tồn kho",-688,-433,90,-469,-652
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",644,337,976,-976,130
"Tăng, giảm chi phí trả trước",-110,308,-153,-469,392
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-102,,-6,-101,-100
Thuế thu nhập doanh nghiệp đã nộp,309,-678,-453,-221,-167
Tiền thu khác từ hoạt động kinh doanh,"1,790",-15,"-1,078",433,285
Tiền chi khác cho hoạt động kinh doanh,933,,"-3,402",-455,455
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"4,643","2,198","-2,415",-437,"2,635"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-198,-76,-404,-171,-217
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",-5,215,-91,128,7
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-1,752",-891,"1,326","-1,198","-1,809"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",728,143,-482,"1,526",498
5. Tiền chi đầu tư góp vốn vào đơn vị khác,-1,-52,27,-19,-26
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,43,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",-34,5,332,222,32
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-1,263",-656,752,488,"-1,515"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,528,-174,"1,602","1,368","1,214"
4. Tiền trả nợ gốc vay,"-2,048",-398,"-2,073","-1,608","-1,478"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",45,-191,97,-59,46
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-1,475",-763,-375,-299,-218
Lưu chuyển tiền thuần trong kỳ,"1,905",779,"-2,038",-248,903
Tiền và tương đương tiền đầu kỳ,"4,659","6,558","7,326","5,304","5,052"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,-6,-10,15,-4,18
Tiền và tương đương tiền cuối kỳ,"6,558","7,326","5,304","5,052","5,973"
