VRE,Q3/2016,Q4/2016,Q1/2017,Q2/2017,Q3/2017
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"1,372","1,302","1,394","1,340","1,235"
2. Các khoản giảm trừ doanh thu,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"1,372","1,302","1,394","1,340","1,235"
4. Giá vốn hàng bán,698,735,648,698,642
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,674,567,746,642,592
6.Doanh thu hoạt động tài chính,179,154,132,159,143
7. Chi phí tài chính,312,217,132,766,139
Trong đó :Chi phí lãi vay,311,209,132,132,139
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",129,-418,145,395,
9. Chi phí bán hàng,55,93,63,52,39
10. Chi phí quản lý doanh nghiệp,78,63,66,82,120
11. Lợi nhuận thuần từ hoạt động kinh doanh,536,-70,762,296,438
12. Thu nhập khác,22,3,7,9,7
13. Chi phí khác,29,149,4,32,10
14. Lợi nhuận khác,-7,-147,3,-24,-3
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,528,-217,765,272,435
16. Chi phí thuế TNDN hiện hành,43,46,69,88,84
17. Chi phí thuế TNDN hoãn lại,-62,-11,-3,-217,-23
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,547,-251,699,401,374
Lợi ích của cổ đông thiểu số,0,2,0,0,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,547,-253,699,401,374
19. Lãi cơ bản trên cổ phiếu (*),,,,,
20. Lãi suy giảm trên cổ phiếu (*),,,,,
