VRE,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"37,827","38,909","39,931","40,837","41,923"
I. Vốn chủ sở hữu,"37,827","38,909","39,931","40,837","41,923"
1. Vốn góp của chủ sở hữu,"23,288","23,288","23,288","23,288","23,288"
- Cổ phiếu phổ thông có quyền biểu quyết,"23,288","23,288","23,288","23,288","23,288"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,47,47,47,47,47
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,,,,,
5. Cổ phiếu quỹ (*),"-1,954","-1,954","-1,954","-1,954","-1,954"
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,,,,,
8. Quỹ đầu tư phát triển,,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,-53,-53,-53,-53,-53
11. Lợi nhuận sau thuế chưa phân phối,"16,476","17,581","18,603","19,509","20,595"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"12,065","16,476","16,476","16,476","16,499"
- LNST chưa phân phối kỳ này,"4,411","1,106","2,127","3,033","4,096"
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,23,0,0,0,0
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"47,654","49,016","52,328","53,175","55,226"
