VRE,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"1,510",787,"1,367","1,369","1,850"
2. Các khoản giảm trừ doanh thu,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"1,510",787,"1,367","1,369","1,850"
4. Giá vốn hàng bán,881,657,903,758,788
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,629,130,464,611,"1,061"
6.Doanh thu hoạt động tài chính,120,78,87,103,104
7. Chi phí tài chính,152,89,91,90,88
Trong đó :Chi phí lãi vay,151,88,91,90,88
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,52,-22,80,55,34
10. Chi phí quản lý doanh nghiệp,80,106,182,88,105
11. Lợi nhuận thuần từ hoạt động kinh doanh,465,36,198,482,939
12. Thu nhập khác,20,17,26,18,21
13. Chi phí khác,2,4,43,0,1
14. Lợi nhuận khác,18,13,-17,18,20
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,483,48,181,501,959
16. Chi phí thuế TNDN hiện hành,96,24,59,124,187
17. Chi phí thuế TNDN hoãn lại,0,0,0,0,-1
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,388,24,122,378,773
Lợi ích của cổ đông thiểu số,0,0,0,0,0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,388,24,122,377,773
19. Lãi cơ bản trên cổ phiếu (*),,,,,
20. Lãi suy giảm trên cổ phiếu (*),,,,,
