BID,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"11,205","11,478","10,634","11,193","10,703"
2. Chi phí lãi và các chi phí tương tự,"8,413","7,640","7,511","7,663","7,442"
I. Thu nhập lãi thuần,"2,791","3,838","3,124","3,529","3,261"
3. Thu nhập từ hoạt động dịch vụ,636,747,667,869,796
4. Chi phí hoạt động dịch vụ,133,194,153,172,229
II. Lãi/lỗ thuần từ hoạt động dịch vụ,503,552,515,697,568
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,84,92,41,14,29
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,2,58,136,74,90
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-17,-10,1,-27,41
5. Thu nhập từ hoạt động khác,155,518,247,530,365
6. Chi phí hoạt động khác,124,225,178,275,174
VI. Lãi/lỗ thuần từ hoạt động khác,31,293,70,255,191
"VII. Thu nhập từ góp vốn, mua cổ phần",9,-73,38,101,111
VIII. Chi phí hoạt động,"1,289","1,930","1,602","1,748","1,406"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"2,115","2,821","2,322","2,895","2,885"
X. Chi phí dự phòng rủi ro tín dụng,"1,675","1,073",807,"1,770","1,404"
XI. Tổng lợi nhuận trước thuế (IX-X),439,"1,748","1,515","1,125","1,481"
7. Chi phí thuế TNDN hiện hành,98,444,369,265,343
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,98,444,369,265,343
XIII. Lợi nhuận sau thuế (XI-XII),341,"1,304","1,146",860,"1,139"
XIV. Lợi ích của cổ đông thiểu số,4,0,4,4,6
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),338,"1,305","1,142",857,"1,132"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
