BID,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","11,073","11,441","12,661","12,192","11,894"
II. Tiền gửi tại NHNN,"37,588","64,252","68,851","58,217","48,205"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","145,998","115,503","135,940","163,894","216,987"
"1. Tiền, vàng gửi tại các TCTD khác","125,485","97,934","112,043","141,149","191,863"
2. Cho vay các TCTD khác,"20,647","17,701","24,027","22,872","25,251"
3. Dự phòng rủi ro cho vay các TCTD khác,-134,-132,-129,-127,-126
IV. Chứng khoán kinh doanh,"3,612","6,351","6,067","3,275","1,879"
1. Chứng khoán kinh doanh,"3,634","6,374","6,083","3,287","1,918"
2. Dự phòng giảm giá chứng khoán kinh doanh,-21,-24,-16,-12,-39
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,236,379,192,70,
VI. Cho vay khách hàng,"1,269,695","1,298,625","1,325,578","1,382,263","1,443,296"
1. Cho vay và cho thuê tài chính khách hàng,"1,297,445","1,328,680","1,354,633","1,417,854","1,483,039"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-27,750","-30,055","-29,055","-35,592","-39,742"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"135,147","149,752","177,089","190,687","214,476"
1. Chứng khoán đầu tư sẵn sàng để bán,"107,380","108,254","111,675","119,832","139,400"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"28,840","41,951","65,711","71,149","75,305"
3. Dự phòng giảm giá chứng khoán đầu tư,"-1,073",-452,-297,-294,-229
"VIII. Góp vốn, đầu tư dài hạn","2,865","2,903","2,874","2,861","2,970"
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết","2,753","2,758","2,730","2,749","2,858"
3. Đầu tư dài hạn khác,216,216,216,216,216
4. Dự phòng giảm giá đầu tư dài hạn,-104,-71,-71,-104,-104
IX. Tài sản cố định,"10,152","10,382","10,741","10,509","10,260"
1. Tài sản cố định hữu hình,"5,925","6,073","6,338","6,157","5,953"
a. Nguyên giá TSCĐ,"13,475","13,852","14,264","14,265","14,201"
b. Hao mòn TSCĐ,"-7,550","-7,779","-7,926","-8,108","-8,247"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"4,227","4,309","4,403","4,353","4,307"
a. Nguyên giá TSCĐ,"6,049","6,208","6,408","6,402","6,396"
b. Hao mòn TSCĐ,"-1,822","-1,899","-2,005","-2,050","-2,090"
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","26,132","27,090","21,946","23,737","29,449"
1. Các khoản phải thu,"9,897","10,061","7,841","9,012","13,829"
"2. Các khoản lãi, phí phải thu","12,883","13,947","11,042","12,120","12,613"
3. Tài sản thuế TNDN hoãn lại,42,35,37,37,37
4. Tài sản Có khác,"3,900","3,645","3,590","3,132","3,528"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-590,-598,-564,-564,-558
