BID,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"25,965","25,990","24,788","26,951","29,444"
2. Chi phí lãi và các chi phí tương tự,"13,267","13,785","13,935","14,125","14,825"
I. Thu nhập lãi thuần,"12,698","12,205","10,853","12,826","14,619"
3. Thu nhập từ hoạt động dịch vụ,"2,728","2,446","3,000","2,197","2,689"
4. Chi phí hoạt động dịch vụ,963,852,"1,156",922,"1,186"
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"1,765","1,594","1,844","1,275","1,503"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,405,457,655,585,624
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,125,-2,13,-2,-64
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-165,151,578,2,64
5. Thu nhập từ hoạt động khác,"2,407","1,203","3,199","1,660","1,703"
6. Chi phí hoạt động khác,245,409,"1,926",202,367
VI. Lãi/lỗ thuần từ hoạt động khác,"2,161",794,"1,274","1,458","1,336"
"VII. Thu nhập từ góp vốn, mua cổ phần",68,48,35,83,64
VIII. Chi phí hoạt động,"4,079","5,071","6,146","4,322","5,194"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"12,977","10,176","9,436","11,905","12,951"
X. Chi phí dự phòng rủi ro tín dụng,"8,251","7,502","6,238","7,391","6,381"
XI. Tổng lợi nhuận trước thuế (IX-X),"4,726","2,674","2,868","4,514","6,570"
7. Chi phí thuế TNDN hiện hành,938,547,573,877,"1,306"
8. Chi phí thuế TNDN hoãn lại,-1,5,0,-1,0
XII. Chi phí thuế TNDN,937,552,573,876,"1,306"
XIII. Lợi nhuận sau thuế (XI-XII),"3,789","2,122","2,296","3,638","5,264"
XIV. Lợi ích của cổ đông thiểu số,80,74,78,67,48
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"3,709","2,048","2,218","3,571","5,216"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
