BID,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"23,563","23,492","25,214","25,518","26,654"
2. Chi phí lãi và các chi phí tương tự,"14,224","14,947","16,076","16,766","17,057"
I. Thu nhập lãi thuần,"9,340","8,545","9,138","8,752","9,597"
3. Thu nhập từ hoạt động dịch vụ,"2,047","1,627","1,958","1,943","2,362"
4. Chi phí hoạt động dịch vụ,"1,038",751,866,893,"1,097"
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"1,009",876,"1,092","1,050","1,265"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,242,322,412,342,418
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-36,39,49,175,63
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,13,-389,126,-2,664
5. Thu nhập từ hoạt động khác,"1,556","1,507","1,293","1,492","2,320"
6. Chi phí hoạt động khác,599,243,181,288,457
VI. Lãi/lỗ thuần từ hoạt động khác,957,"1,264","1,111","1,204","1,863"
"VII. Thu nhập từ góp vốn, mua cổ phần",100,47,66,67,38
VIII. Chi phí hoạt động,"4,878","2,998","4,219","3,513","6,551"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"6,747","7,707","7,775","8,075","7,355"
X. Chi phí dự phòng rủi ro tín dụng,"4,528","5,187","5,524","5,756","3,507"
XI. Tổng lợi nhuận trước thuế (IX-X),"2,218","2,521","2,251","2,319","3,848"
7. Chi phí thuế TNDN hiện hành,478,497,450,448,801
8. Chi phí thuế TNDN hoãn lại,16,-1,0,-3,28
XII. Chi phí thuế TNDN,493,496,450,445,828
XIII. Lợi nhuận sau thuế (XI-XII),"1,725","2,025","1,801","1,874","3,020"
XIV. Lợi ích của cổ đông thiểu số,11,55,34,60,30
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,714","1,969","1,768","1,814","2,990"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
