BID,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"30,624","34,114","37,735","39,686","38,104"
2. Chi phí lãi và các chi phí tương tự,"16,526","19,581","23,799","25,879","24,321"
I. Thu nhập lãi thuần,"14,098","14,532","13,936","13,807","13,783"
3. Thu nhập từ hoạt động dịch vụ,"2,571","2,882","2,673","3,082","2,895"
4. Chi phí hoạt động dịch vụ,"1,130","1,441","1,156","1,411","1,130"
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"1,441","1,441","1,517","1,671","1,764"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,801,"1,129",673,784,"1,683"
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,6,30,66,114,114
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,51,142,0,29,-295
5. Thu nhập từ hoạt động khác,"1,526","1,635","1,249","1,407","1,478"
6. Chi phí hoạt động khác,470,"1,274",272,372,737
VI. Lãi/lỗ thuần từ hoạt động khác,"1,057",362,977,"1,035",741
"VII. Thu nhập từ góp vốn, mua cổ phần",100,44,110,65,96
VIII. Chi phí hoạt động,"5,452","7,578","4,832","6,370","6,044"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"12,102","10,102","12,447","11,135","11,842"
X. Chi phí dự phòng rủi ro tín dụng,"5,429","4,721","5,527","4,192","5,950"
XI. Tổng lợi nhuận trước thuế (IX-X),"6,673","5,381","6,920","6,943","5,893"
7. Chi phí thuế TNDN hiện hành,"1,319","1,128","1,360","1,389","1,165"
8. Chi phí thuế TNDN hoãn lại,0,-9,0,-3,0
XII. Chi phí thuế TNDN,"1,319","1,119","1,361","1,386","1,165"
XIII. Lợi nhuận sau thuế (XI-XII),"5,354","4,262","5,559","5,557","4,728"
XIV. Lợi ích của cổ đông thiểu số,76,75,91,132,145
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"5,278","4,186","5,468","5,426","4,583"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
