BID,Q1/2010,Q3/2010,Q3/2011,Q1/2012,Q2/2012
Giai đoạn,01/01-31/03,01/07-30/09,01/07-30/09,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","3,188","3,665","3,568","3,891",
II. Tiền gửi tại NHNN,"1,342","11,956","11,795","6,793",
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","32,624","59,231","47,264","38,373",
"1. Tiền, vàng gửi tại các TCTD khác","28,552","50,966","33,424","26,928",
2. Cho vay các TCTD khác,"4,387","8,512","14,137","11,806",
3. Dự phòng rủi ro cho vay các TCTD khác,-316,-247,-297,-361,
IV. Chứng khoán kinh doanh,"1,412","1,220","2,810","3,029",
1. Chứng khoán kinh doanh,"1,542","1,381","2,973","3,146",
2. Dự phòng giảm giá chứng khoán kinh doanh,-130,-161,-163,-117,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,30,28,19,
VI. Cho vay khách hàng,"209,532","269,367","295,706","318,210",
1. Cho vay và cho thuê tài chính khách hàng,"215,742","277,054","301,585","325,758",
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-6,209","-7,687","-5,880","-7,548",
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"29,999","30,798","39,636","51,224",
1. Chứng khoán đầu tư sẵn sàng để bán,"27,998","29,379","38,613","49,949",
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"2,155","1,715","1,550","1,680",
3. Dự phòng giảm giá chứng khoán đầu tư,-153,-296,-527,-405,
"VIII. Góp vốn, đầu tư dài hạn","3,232","3,992","4,018","4,164",
1. Đầu tư vào công ty con,0,0,0,,
"2. Đầu tư vào công ty liên doanh, liên kết","1,949","3,193","3,343","3,437",
3. Đầu tư dài hạn khác,"1,374","1,000",975,975,
4. Dự phòng giảm giá đầu tư dài hạn,-91,-201,-299,-248,
IX. Tài sản cố định,"2,198","3,247","3,535","3,569",
1. Tài sản cố định hữu hình,"1,167","1,342","1,450","1,449",
a. Nguyên giá TSCĐ,"2,357","3,004","3,239","3,322",
b. Hao mòn TSCĐ,"-1,190","-1,662","-1,789","-1,873",
2. Tài sản cố định thuê tài chính,337,343,396,362,
a. Nguyên giá TSCĐ,682,688,787,778,
b. Hao mòn TSCĐ,-345,-345,-390,-416,
3. Tài sản cố định vô hình,694,"1,562","1,689","1,757",
a. Nguyên giá TSCĐ,884,"1,807","2,012","2,094",
b. Hao mòn TSCĐ,-190,-244,-323,-337,
X. Bất động sản đầu tư,0,0,0,,
a. Nguyên giá BĐSĐT,0,0,0,,
b. Hao mòn BĐSĐT,0,0,0,,
