BID,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","7,853","8,185","9,442","8,714","8,722"
II. Tiền gửi tại NHNN,"29,517","29,351","33,804","20,931","34,107"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","85,093","118,249","119,261","101,896","81,843"
"1. Tiền, vàng gửi tại các TCTD khác","59,374","76,894","78,724","69,999","57,420"
2. Cho vay các TCTD khác,"26,272","41,421","40,600","31,962","24,489"
3. Dự phòng rủi ro cho vay các TCTD khác,-553,-66,-63,-65,-66
IV. Chứng khoán kinh doanh,"11,453","9,614","15,448","4,131","1,056"
1. Chứng khoán kinh doanh,"11,537","9,672","15,465","4,151","1,067"
2. Dự phòng giảm giá chứng khoán kinh doanh,-84,-59,-17,-20,-11
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,295,150,240,321,12
VI. Cho vay khách hàng,"813,528","854,948","867,290","917,423","953,925"
1. Cho vay và cho thuê tài chính khách hàng,"828,007","866,000","878,753","929,168","968,752"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-14,479","-11,052","-11,463","-11,745","-14,827"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"144,128","146,106","144,639","177,539","150,499"
1. Chứng khoán đầu tư sẵn sàng để bán,"116,450","118,098","114,362","149,533","124,015"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"36,943","38,364","37,711","37,004","36,347"
3. Dự phòng giảm giá chứng khoán đầu tư,"-9,265","-10,356","-7,434","-8,998","-9,863"
"VIII. Góp vốn, đầu tư dài hạn","2,591","2,581","2,617","2,652","2,682"
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết","2,417","2,411","2,448","2,487","2,536"
3. Đầu tư dài hạn khác,256,253,253,253,234
4. Dự phòng giảm giá đầu tư dài hạn,-82,-83,-83,-88,-88
IX. Tài sản cố định,"9,913","10,319","10,158","10,185","10,079"
1. Tài sản cố định hữu hình,"5,541","5,921","5,801","5,862","5,801"
a. Nguyên giá TSCĐ,"10,403","10,961","11,025","11,306","11,414"
b. Hao mòn TSCĐ,"-4,861","-5,040","-5,224","-5,443","-5,613"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"4,372","4,398","4,357","4,322","4,279"
a. Nguyên giá TSCĐ,"5,472","5,552","5,560","5,579","5,588"
