BID,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"11,800","10,938","11,439","11,126","9,537"
2. Chi phí lãi và các chi phí tương tự,"7,601","7,440","7,274","7,567","4,859"
I. Thu nhập lãi thuần,"4,199","3,498","4,164","3,559","4,678"
3. Thu nhập từ hoạt động dịch vụ,966,842,"1,012",963,"1,251"
4. Chi phí hoạt động dịch vụ,302,237,242,319,382
II. Lãi/lỗ thuần từ hoạt động dịch vụ,665,605,770,645,869
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,78,203,19,78,-35
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,168,61,-41,156,32
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,909,-22,15,21,"1,213"
5. Thu nhập từ hoạt động khác,824,250,518,440,"1,401"
6. Chi phí hoạt động khác,351,85,140,114,510
VI. Lãi/lỗ thuần từ hoạt động khác,473,165,378,326,892
"VII. Thu nhập từ góp vốn, mua cổ phần",15,93,99,128,50
VIII. Chi phí hoạt động,"2,743","1,959","2,678","1,884","2,894"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"3,764","2,644","2,727","3,030","4,806"
X. Chi phí dự phòng rủi ro tín dụng,"2,514",695,"2,183","1,047","2,946"
XI. Tổng lợi nhuận trước thuế (IX-X),"1,250","1,949",544,"1,983","1,860"
7. Chi phí thuế TNDN hiện hành,301,404,117,392,403
8. Chi phí thuế TNDN hoãn lại,,,0,5,
XII. Chi phí thuế TNDN,301,404,117,397,403
XIII. Lợi nhuận sau thuế (XI-XII),949,"1,545",427,"1,586","1,457"
XIV. Lợi ích của cổ đông thiểu số,5,8,9,12,8
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),945,"1,536",418,"1,574","1,449"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
