BID,Q1/2010,Q3/2010,Q3/2011,Q1/2012,Q2/2012
Giai đoạn,01/01-31/03,01/07-30/09,01/07-30/09,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"8,407","7,511","12,880","12,703","9,909"
2. Chi phí lãi và các chi phí tương tự,"6,438","5,418","9,798","9,835","7,206"
I. Thu nhập lãi thuần,"1,969","2,093","3,082","2,867","2,703"
3. Thu nhập từ hoạt động dịch vụ,422,451,578,647,496
4. Chi phí hoạt động dịch vụ,58,91,177,143,111
II. Lãi/lỗ thuần từ hoạt động dịch vụ,364,361,401,504,385
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-148,94,103,61,71
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-10,26,-110,49,-6
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,1,-19,-15,-18,-1
5. Thu nhập từ hoạt động khác,62,215,391,134,291
6. Chi phí hoạt động khác,101,211,299,113,112
VI. Lãi/lỗ thuần từ hoạt động khác,-39,5,92,21,179
"VII. Thu nhập từ góp vốn, mua cổ phần",37,50,23,23,124
VIII. Chi phí hoạt động,677,"1,169","1,886","1,615",972
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,498","1,441","1,690","1,893","2,484"
X. Chi phí dự phòng rủi ro tín dụng,54,505,"1,117",27,817
XI. Tổng lợi nhuận trước thuế (IX-X),"1,443",936,573,"1,865","1,667"
7. Chi phí thuế TNDN hiện hành,348,218,126,463,393
8. Chi phí thuế TNDN hoãn lại,0,0,0,0,
XII. Chi phí thuế TNDN,348,218,126,463,393
XIII. Lợi nhuận sau thuế (XI-XII),"1,095",718,447,"1,402","1,274"
XIV. Lợi ích của cổ đông thiểu số,0,0,-12,7,-2
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,095",718,459,"1,395","1,276"
Lãi cơ bản trên cổ phiếu (BCTC),0,0,0,0,
