BID,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"26,535","23,693","24,735","25,960","24,058"
2. Chi phí lãi và các chi phí tương tự,"17,387","16,743","15,591","15,394","13,228"
I. Thu nhập lãi thuần,"9,149","6,950","9,144","10,565","10,830"
3. Thu nhập từ hoạt động dịch vụ,"1,822","2,030","2,161","2,576","2,217"
4. Chi phí hoạt động dịch vụ,736,851,793,984,783
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"1,086","1,179","1,368","1,593","1,434"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,419,413,438,486,379
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,180,241,58,1,451
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-129,797,340,506,-331
5. Thu nhập từ hoạt động khác,842,"1,371","1,288","4,394","2,126"
6. Chi phí hoạt động khác,261,253,286,"2,119",321
VI. Lãi/lỗ thuần từ hoạt động khác,581,"1,118","1,002","2,275","1,805"
"VII. Thu nhập từ góp vốn, mua cổ phần",53,5,43,53,37
VIII. Chi phí hoạt động,"3,484","3,962","3,931","6,322","4,037"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"7,855","6,741","8,461","9,158","10,569"
X. Chi phí dự phòng rủi ro tín dụng,"6,041","4,101","5,758","7,006","7,173"
XI. Tổng lợi nhuận trước thuế (IX-X),"1,814","2,640","2,703","2,152","3,396"
7. Chi phí thuế TNDN hiện hành,368,509,534,445,679
8. Chi phí thuế TNDN hoãn lại,2,-6,-5,12,-4
XII. Chi phí thuế TNDN,370,503,529,456,674
XIII. Lợi nhuận sau thuế (XI-XII),"1,444","2,137","2,174","1,696","2,722"
XIV. Lợi ích của cổ đông thiểu số,35,71,66,59,73
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,409","2,066","2,108","1,637","2,648"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
