BID,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"37,496","33,596","33,897","34,326","36,469"
2. Chi phí lãi và các chi phí tương tự,"22,627","20,055","19,059","20,337","20,831"
I. Thu nhập lãi thuần,"14,869","13,541","14,838","13,990","15,639"
3. Thu nhập từ hoạt động dịch vụ,"3,236","3,298","3,781","3,014","3,372"
4. Chi phí hoạt động dịch vụ,"1,619","1,605","1,842","1,539","1,405"
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"1,617","1,693","1,939","1,475","1,967"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,"1,567","1,465","1,726",732,"1,438"
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,12,167,79,-64,104
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,"3,138",-291,513,-486,"5,164"
5. Thu nhập từ hoạt động khác,"2,408","1,149","2,046","2,033","3,965"
6. Chi phí hoạt động khác,"3,085",648,"1,014",528,"2,016"
VI. Lãi/lỗ thuần từ hoạt động khác,-676,500,"1,031","1,505","1,949"
"VII. Thu nhập từ góp vốn, mua cổ phần",75,96,99,106,145
VIII. Chi phí hoạt động,"7,830","5,393","6,708","6,307","9,382"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"12,772","11,779","13,517","10,951","17,023"
X. Chi phí dự phòng rủi ro tín dụng,"4,885","4,389","5,358","4,453","7,687"
XI. Tổng lợi nhuận trước thuế (IX-X),"7,887","7,390","8,159","6,498","9,336"
7. Chi phí thuế TNDN hiện hành,"1,698","1,474","1,628","1,286","1,870"
8. Chi phí thuế TNDN hoãn lại,-2,0,-3,-2,2
XII. Chi phí thuế TNDN,"1,696","1,474","1,625","1,284","1,872"
XIII. Lợi nhuận sau thuế (XI-XII),"6,191","5,916","6,534","5,214","7,464"
XIV. Lợi ích của cổ đông thiểu số,116,103,165,63,136
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"6,074","5,813","6,369","5,151","7,328"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
