BID,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"11,392","11,353","13,162","13,696","14,618"
2. Chi phí lãi và các chi phí tương tự,"6,801","7,463","7,937","8,043","8,978"
I. Thu nhập lãi thuần,"4,591","3,890","5,225","5,653","5,640"
3. Thu nhập từ hoạt động dịch vụ,786,960,"1,010","1,207",962
4. Chi phí hoạt động dịch vụ,330,369,449,481,460
II. Lãi/lỗ thuần từ hoạt động dịch vụ,456,591,561,726,502
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,21,32,-69,239,90
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-37,-88,6,57,81
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-10,57,-361,342,-43
5. Thu nhập từ hoạt động khác,481,"1,290",761,"1,188",601
6. Chi phí hoạt động khác,259,171,330,496,274
VI. Lãi/lỗ thuần từ hoạt động khác,222,"1,119",431,692,327
"VII. Thu nhập từ góp vốn, mua cổ phần",34,185,248,14,110
VIII. Chi phí hoạt động,"2,027","2,322","3,125","3,471","2,638"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"3,252","3,463","2,917","4,252","4,068"
X. Chi phí dự phòng rủi ro tín dụng,979,"2,587",499,"1,843","1,991"
XI. Tổng lợi nhuận trước thuế (IX-X),"2,273",876,"2,418","2,409","2,077"
7. Chi phí thuế TNDN hiện hành,408,216,398,540,395
8. Chi phí thuế TNDN hoãn lại,,16,2,,
XII. Chi phí thuế TNDN,408,232,401,540,395
XIII. Lợi nhuận sau thuế (XI-XII),"1,865",644,"2,017","1,869","1,683"
XIV. Lợi ích của cổ đông thiểu số,10,14,8,47,23
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,855",631,"2,010","1,821","1,659"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
