BID,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"21,151","20,869","22,163","22,190","22,180"
2. Chi phí lãi và các chi phí tương tự,"12,131","12,860","12,998","13,869","14,029"
I. Thu nhập lãi thuần,"9,020","8,009","9,166","8,321","8,151"
3. Thu nhập từ hoạt động dịch vụ,"1,369","1,677","1,416","1,717","1,633"
4. Chi phí hoạt động dịch vụ,639,831,671,742,812
II. Lãi/lỗ thuần từ hoạt động dịch vụ,730,846,745,976,820
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,210,154,215,222,361
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,165,166,529,156,-3
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,32,309,-17,-4,242
5. Thu nhập từ hoạt động khác,912,"2,191",800,"1,357","1,632"
6. Chi phí hoạt động khác,351,415,202,359,362
VI. Lãi/lỗ thuần từ hoạt động khác,561,"1,776",598,998,"1,270"
"VII. Thu nhập từ góp vốn, mua cổ phần",164,39,43,75,25
VIII. Chi phí hoạt động,"3,464","5,025","2,780","4,199","4,242"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"7,418","6,274","8,499","6,545","6,624"
X. Chi phí dự phòng rủi ro tín dụng,"5,556","3,028","6,013","3,994","4,340"
XI. Tổng lợi nhuận trước thuế (IX-X),"1,862","3,245","2,486","2,551","2,284"
7. Chi phí thuế TNDN hiện hành,379,520,480,507,473
8. Chi phí thuế TNDN hoãn lại,-1,-24,-16,4,0
XII. Chi phí thuế TNDN,379,495,465,510,473
XIII. Lợi nhuận sau thuế (XI-XII),"1,483","2,750","2,021","2,041","1,810"
XIV. Lợi ích của cổ đông thiểu số,-22,69,43,77,57
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,505","2,682","1,978","1,964","1,753"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
