BID,Q1/2006,Q1/2009,Q1/2010,Q3/2010,Q3/2011
Giai đoạn,01/01-31/03,01/01-31/03,01/01-31/03,01/07-30/09,01/07-30/09
Hợp nhất,Đơn lẻ,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"2,177","5,456","8,407","7,511","12,880"
2. Chi phí lãi và các chi phí tương tự,"1,488","4,267","6,438","5,418","9,798"
I. Thu nhập lãi thuần,689,"1,189","1,969","2,093","3,082"
3. Thu nhập từ hoạt động dịch vụ,101,337,422,451,578
4. Chi phí hoạt động dịch vụ,11,54,58,91,177
II. Lãi/lỗ thuần từ hoạt động dịch vụ,90,283,364,361,401
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,14,42,-148,94,103
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,9,-10,-10,26,-110
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,206,-9,1,-19,-15
5. Thu nhập từ hoạt động khác,80,71,62,215,391
6. Chi phí hoạt động khác,,103,101,211,299
VI. Lãi/lỗ thuần từ hoạt động khác,80,-33,-39,5,92
"VII. Thu nhập từ góp vốn, mua cổ phần",,66,37,50,23
VIII. Chi phí hoạt động,241,479,677,"1,169","1,886"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),848,"1,050","1,498","1,441","1,690"
X. Chi phí dự phòng rủi ro tín dụng,41,18,54,505,"1,117"
XI. Tổng lợi nhuận trước thuế (IX-X),807,"1,031","1,443",936,573
7. Chi phí thuế TNDN hiện hành,223,238,348,218,126
8. Chi phí thuế TNDN hoãn lại,,0,0,0,0
XII. Chi phí thuế TNDN,223,238,348,218,126
XIII. Lợi nhuận sau thuế (XI-XII),584,793,"1,095",718,447
XIV. Lợi ích của cổ đông thiểu số,,0,0,0,-12
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),584,793,"1,095",718,459
Lãi cơ bản trên cổ phiếu (BCTC),,0,0,0,0
