LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,968,"1,086","1,358",839,"1,186"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,65,65,76,85,94
Các khoản dự phòng,-10,5,6,-5,24
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",-11,-8,7,-32,35
"Lãi, lỗ từ hoạt động đầu tư",-59,-78,137,1,-94
Chi phí lãi vay,1,1,2,3,4
"Lãi, lỗ từ thanh lý TSCĐ",,,-367,33,
Thu nhập lãi vay và cổ tức,,,-211,-64,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,954,"1,070","1,008",860,"1,249"
"Tăng, giảm các khoản phải thu",-114,-69,-466,330,-330
"Tăng, giảm hàng tồn kho",-433,-591,139,-225,-886
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",117,708,-700,243,254
"Tăng, giảm chi phí trả trước",-17,-22,14,10,-7
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,,-1,-2,-2,-3
Thuế thu nhập doanh nghiệp đã nộp,-31,-92,-207,-218,-179
Tiền thu khác từ hoạt động kinh doanh,21,7,,38,
Tiền chi khác cho hoạt động kinh doanh,-155,-36,-58,-62,-165
Lưu chuyển tiền thuần từ hoạt động kinh doanh,342,974,-272,974,-67
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-182,-189,-528,-533,-285
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",1,2,647,40,7
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-88,-513,101,,-18
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",17,,-17,17,
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,-9,-179,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,-47,64,-17,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",42,60,148,23,74
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,972,-703,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,-47,-74,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,-205
Lưu chuyển tiền thuần từ hoạt động đầu tư,-211,-696,"1,160","-1,247",-426
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",18,,,,35
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,1,323,,643,418
4. Tiền trả nợ gốc vay,-2,-6,-2,-396,
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-353,-353,"-1,059",,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,-337,-37,"-1,062",247,453
Lưu chuyển tiền thuần trong kỳ,-205,241,-173,-26,-40
Tiền và tương đương tiền đầu kỳ,426,221,462,289,263
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,
Tiền và tương đương tiền cuối kỳ,221,462,289,263,223
