LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,Soát xét,VST Tính,VST Tính
Công ty kiểm toán,,,KPMG,,
Ý kiến kiểm toán,,,Chấp nhận toàn phần,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"2,860","2,295","2,312","2,728","3,076"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,581,334,591,454,676
Các khoản dự phòng,3,19,4,5,
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",8,-38,-10,11,3
"Lãi, lỗ từ hoạt động đầu tư",-285,-401,-309,334,"-1,082"
Chi phí lãi vay,50,53,82,96,80
"Lãi, lỗ từ thanh lý TSCĐ",,88,,27,-27
Thu nhập lãi vay và cổ tức,,,,-708,708
Phân bổ lợi thế thương mại,,246,,123,61
Điều chỉnh cho các khoản khác,,24,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"3,217","2,622","2,670","3,070","3,311"
"Tăng, giảm các khoản phải thu",145,-324,-444,663,300
"Tăng, giảm hàng tồn kho","1,171",100,"-1,251",291,517
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",49,588,129,-522,392
"Tăng, giảm chi phí trả trước",-42,-25,-53,24,25
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-30,-73,-69,-98,-77
Thuế thu nhập doanh nghiệp đã nộp,-4,"-1,182",-415,-7,-307
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,-270,-69,-438,-89,-219
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"4,235","1,637",129,"3,331","3,942"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-275,-544,-357,-511,-191
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",33,32,23,25,28
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,,,"-2,469",188
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",-543,"2,114",595,-595,
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,-12,-12,,-24
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",338,439,226,183,463
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,-447,"2,028",475,"-3,366",464
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,338,,338,152
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,-143,
3. Tiền thu từ đi vay,"2,108",74,"4,498","3,233","1,012"
4. Tiền trả nợ gốc vay,"-2,425","-4,575","-2,462","-3,789",-279
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","-5,120",53,"-2,926",-35,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,-121,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-5,437","-4,231",-891,-395,884
Lưu chuyển tiền thuần trong kỳ,"-1,648",-565,-287,-430,"5,290"
Tiền và tương đương tiền đầu kỳ,"4,507","2,868","2,300","2,011","1,583"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,9,-3,-2,1,3
Tiền và tương đương tiền cuối kỳ,"2,868","2,300","2,011","1,583","6,876"
