LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Soát xét,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,KPMG,,,
Ý kiến kiểm toán,,Chấp nhận toàn phần,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"2,852","2,706","3,309","2,942","2,643"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,579,566,585,625,319
Các khoản dự phòng,17,1,3,5,19
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",4,-2,-5,3,-9
"Lãi, lỗ từ hoạt động đầu tư",-340,-345,-315,-358,-350
Chi phí lãi vay,96,86,64,63,66
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,-184,,,,246
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"3,208","3,012","3,641","3,279","2,934"
"Tăng, giảm các khoản phải thu",-764,752,-387,502,-535
"Tăng, giảm hàng tồn kho",-578,-763,137,286,285
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",-442,-522,357,306,-330
"Tăng, giảm chi phí trả trước",12,-55,90,2,54
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-58,-139,-81,-38,-80
Thuế thu nhập doanh nghiệp đã nộp,-835,-847,-385,7,-903
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,-57,-531,-55,-180,-132
Lưu chuyển tiền thuần từ hoạt động kinh doanh,485,908,"3,318","4,164","1,296"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-520,-378,-590,-392,-381
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",29,23,30,31,30
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-575,,"-2,853","-3,435","2,668"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,34,-34,,
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,11,,,26,9
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",495,294,263,550,366
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,-561,-27,"-3,184","-3,219","2,691"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,676,46,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"3,046","2,765","5,107","2,576","6,973"
4. Tiền trả nợ gốc vay,"-1,746","-4,403","-3,967","-2,093","-6,160"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","-5,191","-1,045","-1,918",,"-5,197"
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-3,891","-2,008",-732,482,"-4,384"
Lưu chuyển tiền thuần trong kỳ,"-3,967","-1,127",-598,"1,428",-397
Tiền và tương đương tiền đầu kỳ,"6,876","2,912","1,788","1,199","2,616"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,3,4,8,-10,6
Tiền và tương đương tiền cuối kỳ,"2,912","1,788","1,199","2,616","2,226"
