CTG,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","3,030","2,937","3,730","2,855","3,098"
II. Tiền gửi tại NHNN,"7,014","3,303","12,131","6,444","10,454"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","39,555","48,107","65,425","21,782","20,917"
"1. Tiền, vàng gửi tại các TCTD khác","37,125","45,033","61,952","17,532","18,429"
2. Cho vay các TCTD khác,"2,440","3,090","3,500","4,282","2,507"
3. Dự phòng rủi ro cho vay các TCTD khác,-9,-17,-26,-32,-19
IV. Chứng khoán kinh doanh,758,"1,045",693,506,465
1. Chứng khoán kinh doanh,773,"1,062",707,512,475
2. Dự phòng giảm giá chứng khoán kinh doanh,-15,-17,-15,-6,-10
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,3,28,20,21,31
VI. Cho vay khách hàng,"258,917","269,609","290,389","282,099","279,331"
1. Cho vay và cho thuê tài chính khách hàng,"263,267","273,305","293,434","285,880","284,663"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-4,351","-3,696","-3,046","-3,781","-5,332"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"67,663","68,112","68,039","70,221","67,893"
1. Chứng khoán đầu tư sẵn sàng để bán,"67,503","67,730","65,441","67,623","65,743"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,429,429,"2,700","2,700","2,400"
3. Dự phòng giảm giá chứng khoán đầu tư,-269,-47,-102,-102,-250
"VIII. Góp vốn, đầu tư dài hạn","2,054","2,760","2,866","2,978","3,007"
1. Đầu tư vào công ty con,0,0,"2,543","2,655","2,684"
"2. Đầu tư vào công ty liên doanh, liên kết","1,738","2,462",25,25,25
3. Đầu tư dài hạn khác,315,298,298,298,298
4. Dự phòng giảm giá đầu tư dài hạn,0,0,0,0,0
IX. Tài sản cố định,"3,156","3,330","3,745","3,798","3,716"
1. Tài sản cố định hữu hình,"2,042","2,212","2,548","2,446","2,352"
a. Nguyên giá TSCĐ,"4,741","5,064","5,541","5,622","5,698"
b. Hao mòn TSCĐ,"-2,699","-2,851","-2,994","-3,175","-3,347"
2. Tài sản cố định thuê tài chính,0,0,0,0,0
a. Nguyên giá TSCĐ,1,1,1,1,1
b. Hao mòn TSCĐ,-1,-1,-1,-1,-1
3. Tài sản cố định vô hình,"1,113","1,118","1,198","1,351","1,365"
a. Nguyên giá TSCĐ,"1,331","1,349","1,443","1,620","1,651"
b. Hao mòn TSCĐ,-218,-232,-245,-269,-286
X. Bất động sản đầu tư,0,0,0,0,0
a. Nguyên giá BĐSĐT,0,0,0,0,0
b. Hao mòn BĐSĐT,0,0,0,0,0
"XI. Tài sản ""Có"" khác","12,515","15,755","13,800","16,149","16,128"
1. Các khoản phải thu,"4,683","5,347","5,188","6,872","8,185"
"2. Các khoản lãi, phí phải thu","5,341","6,584","6,576","6,892","6,406"
3. Tài sản thuế TNDN hoãn lại,0,0,0,0,0
4. Tài sản Có khác,"2,495","3,995","2,214","2,563","2,071"
- Trong đó: Lợi thế thương mại,15,14,0,13,13
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-5,-170,-179,-177,-534
