CTG,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,951","2,532","3,306","3,284","3,455"
II. Tiền gửi tại NHNN,"6,925","12,234","11,643","21,351","11,483"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","40,702","57,824","51,875","62,145","62,862"
"1. Tiền, vàng gửi tại các TCTD khác","21,991","21,573","11,804","18,918","18,464"
2. Cho vay các TCTD khác,"18,853","36,433","40,374","43,554","44,734"
3. Dự phòng rủi ro cho vay các TCTD khác,-141,-182,-303,-327,-336
IV. Chứng khoán kinh doanh,899,695,409,450,561
1. Chứng khoán kinh doanh,911,704,415,452,564
2. Dự phòng giảm giá chứng khoán kinh doanh,-12,-10,-7,-3,-3
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,72,74,,,83
VI. Cho vay khách hàng,"295,219","329,683","319,746","329,278","339,399"
1. Cho vay và cho thuê tài chính khách hàng,"300,970","333,356","324,626","334,607","345,556"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-5,752","-3,673","-4,880","-5,329","-6,156"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"69,561","72,818","83,587","77,027","79,167"
1. Chứng khoán đầu tư sẵn sàng để bán,"67,212","70,332","81,255","74,719","76,723"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"2,600","2,600","2,450","2,450","2,587"
3. Dự phòng giảm giá chứng khoán đầu tư,-250,-113,-118,-142,-142
"VIII. Góp vốn, đầu tư dài hạn","2,781","2,816","2,942","2,761","3,099"
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết","2,441","2,490","2,620","2,441","2,779"
3. Đầu tư dài hạn khác,341,327,322,322,322
4. Dự phòng giảm giá đầu tư dài hạn,-1,-1,-1,-2,-2
IX. Tài sản cố định,"3,815","5,273","5,199","5,335","5,862"
1. Tài sản cố định hữu hình,"2,316","2,967","2,816","2,902","2,973"
a. Nguyên giá TSCĐ,"5,839","6,673","6,723","6,389","6,646"
b. Hao mòn TSCĐ,"-3,524","-3,706","-3,907","-3,488","-3,673"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,1,0,,,
b. Hao mòn TSCĐ,-1,0,,,
3. Tài sản cố định vô hình,"1,500","2,306","2,382","2,433","2,888"
a. Nguyên giá TSCĐ,"1,806","2,644","2,748","2,824","3,316"
b. Hao mòn TSCĐ,-307,-338,-366,-391,-427
X. Bất động sản đầu tư,,,,,
