CTG,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","5,193","5,448","5,187","5,918","6,380"
II. Tiền gửi tại NHNN,"20,575","14,452","13,503","21,591","16,210"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","81,758","79,087","94,469","87,317","107,780"
"1. Tiền, vàng gửi tại các TCTD khác","77,226","75,221","91,032","85,299","104,019"
2. Cho vay các TCTD khác,"4,531","3,865","3,437","2,019","3,761"
3. Dự phòng rủi ro cho vay các TCTD khác,0,,0,,0
IV. Chứng khoán kinh doanh,"1,711","5,912","1,895","4,592","9,819"
1. Chứng khoán kinh doanh,"1,799","6,029","1,975","4,648","9,891"
2. Dự phòng giảm giá chứng khoán kinh doanh,-87,-117,-80,-56,-72
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,165,532,683,311,412
VI. Cho vay khách hàng,"586,830","618,512","655,126","690,326","721,967"
1. Cho vay và cho thuê tài chính khách hàng,"592,866","625,407","661,988","697,742","730,050"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-6,036","-6,895","-6,862","-7,417","-8,083"
VII. Hoạt động mua nợ,0,,0,,0
1. Mua nợ,0,,0,,0
2. Dự phòng rủi ro hoạt động mua nợ,0,,0,,0
VII. Chứng khoán đầu tư,"113,222","134,288","134,227","132,936","129,431"
1. Chứng khoán đầu tư sẵn sàng để bán,"103,738","125,380","125,239","125,238","123,578"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"12,669","12,703","12,078","11,713","11,041"
3. Dự phòng giảm giá chứng khoán đầu tư,"-3,185","-3,795","-3,090","-4,015","-5,188"
"VIII. Góp vốn, đầu tư dài hạn","3,269","3,314","3,204","3,236","3,179"
1. Đầu tư vào công ty con,0,,0,,0
"2. Đầu tư vào công ty liên doanh, liên kết","2,676","2,721","2,776","2,808","2,751"
3. Đầu tư dài hạn khác,596,596,430,430,430
4. Dự phòng giảm giá đầu tư dài hạn,-3,-3,-3,-3,-3
IX. Tài sản cố định,"8,602","8,484","10,615","10,420","10,276"
1. Tài sản cố định hữu hình,"4,366","4,266","6,422","6,264","6,132"
a. Nguyên giá TSCĐ,"10,121","10,199","12,538","12,573","12,650"
b. Hao mòn TSCĐ,"-5,755","-5,933","-6,116","-6,309","-6,518"
2. Tài sản cố định thuê tài chính,0,,0,,0
a. Nguyên giá TSCĐ,0,,0,,0
b. Hao mòn TSCĐ,0,,0,,0
3. Tài sản cố định vô hình,"4,236","4,218","4,193","4,157","4,144"
a. Nguyên giá TSCĐ,"5,109","5,129","5,142","5,142","5,247"
b. Hao mòn TSCĐ,-873,-911,-949,-985,"-1,102"
X. Bất động sản đầu tư,0,,0,,0
a. Nguyên giá BĐSĐT,0,,0,,0
b. Hao mòn BĐSĐT,0,,0,,0
"XI. Tài sản ""Có"" khác","28,886","30,724","29,791","30,735","30,185"
1. Các khoản phải thu,"11,527","12,193","12,573","13,270","11,897"
"2. Các khoản lãi, phí phải thu","13,967","15,118","14,208","14,401","15,067"
3. Tài sản thuế TNDN hoãn lại,0,,0,,0
4. Tài sản Có khác,"3,392","3,414","3,012","3,065","3,223"
- Trong đó: Lợi thế thương mại,5,6,5,4,4
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-1,0,-1,-2,-2
