CTG,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","4,220","4,206","4,579","5,091","4,891"
II. Tiền gửi tại NHNN,"9,765","13,645","7,809","11,893","19,327"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","56,311","47,886","57,024","66,019","64,102"
"1. Tiền, vàng gửi tại các TCTD khác","54,095","45,685","56,497","64,385","61,960"
2. Cho vay các TCTD khác,"2,217","2,201",527,"1,633","2,143"
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,0,0,0
IV. Chứng khoán kinh doanh,"4,586","1,326",762,"3,346",212
1. Chứng khoán kinh doanh,"4,591","1,336",768,"3,373",239
2. Dự phòng giảm giá chứng khoán kinh doanh,-5,-10,-6,-27,-27
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,0,17,0,76
VI. Cho vay khách hàng,"444,261","475,529","494,898","533,530","547,866"
1. Cho vay và cho thuê tài chính khách hàng,"450,057","480,573","499,582","538,080","553,393"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-5,796","-5,044","-4,684","-4,550","-5,527"
VII. Hoạt động mua nợ,0,0,0,0,0
1. Mua nợ,0,0,0,0,0
2. Dự phòng rủi ro hoạt động mua nợ,0,0,0,0,0
VII. Chứng khoán đầu tư,"87,117","104,169","105,094","120,024","114,700"
1. Chứng khoán đầu tư sẵn sàng để bán,"79,575","95,772","95,762","108,940","104,045"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"8,201","9,414","11,072","12,929","12,929"
3. Dự phòng giảm giá chứng khoán đầu tư,-659,"-1,017","-1,740","-1,845","-2,274"
"VIII. Góp vốn, đầu tư dài hạn","3,853","3,876","3,901","3,892","3,823"
1. Đầu tư vào công ty con,0,0,0,0,0
