LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"3,292","2,463","6,821","3,446","4,001"
2. Chi phí lãi và các chi phí tương tự đã trả,"-2,577","-2,320","-2,758","-2,710","-3,409"
3. Thu nhập từ hoạt động dịch vụ nhận được,30,88,216,78,110
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",-5,191,-106,214,-141
5. Thu nhập khác,-10,322,-2,-32,281
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",11,4,-1,54,-39
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",-511,-596,-801,-522,-513
8. Tiền thuế thu nhập thực nộp trong kỳ,-49,14,-129,-56,-30
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,181,165,"3,240",470,260
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác","-2,448","1,825","-4,712","9,623","-4,053"
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"-1,275",-844,800,"-3,198","-2,162"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,,,-45,45,
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-3,300","-6,393","-15,036","-9,714","-7,637"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,-1,-8,-158,,-8
14. (Tăng)/Giảm khác về tài sản hoạt động,"-1,368",693,202,-653,"1,014"
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,288,165,"1,602",-424,"-1,150"
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","3,239","-5,709","11,318","2,552","-2,219"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"4,451","3,815","3,494","9,432","3,314"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),41,"4,024","1,263",-255,"3,538"
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",344,25,29,"2,087","-2,102"
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,67,-41,-62,41,-41
21. Tăng/(Giảm) khác về công nợ hoạt động,-116,133,-57,13,-200
22. Chi từ các quỹ của TCTD,,,,,
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,101,"-2,149","1,877","10,020","-11,446"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-14,23,-174,-20,10
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",9,-80,610,,
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,181,-181,,
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",,,,,-13
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,65,-35,-13,13
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",1,,,,1
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-4,189,220,-33,11
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,,,,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,,,,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,,,,,
IV- Lưu chuyển tiền thuần trong kỳ,96,"-1,960","2,097","9,987","-11,435"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,,,,"26,342",
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,,,,,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,96,"-1,960","2,097","36,329","-11,435"
