LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,520,444,-964,"2,566","1,249"
2. Chi phí lãi và các chi phí tương tự đã trả,-477,-373,850,"-1,997","-1,208"
3. Thu nhập từ hoạt động dịch vụ nhận được,46,23,-69,106,38
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",28,447,-475,635,4
5. Thu nhập khác,1,1,-2,7,4
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",,,-1,1,
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",-121,-135,256,-659,-220
8. Tiền thuế thu nhập thực nộp trong kỳ,-69,-1,71,-117,-118
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,-73,406,-333,542,-251
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",463,-506,43,"-1,847",515
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,330,"-2,145","1,815","-3,984",-287
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,2,-2,,4,-12
12. (Tăng)/Giảm các khoản cho vay khách hàng,-633,"-4,943","5,576","-11,547",-711
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,,-1,1,,
14. (Tăng)/Giảm khác về tài sản hoạt động,"-1,058",-907,"1,965","-1,764","-1,022"
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,209,"1,508","-1,717",904,-204
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","-4,671",-383,"5,053","3,328","4,033"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),806,"4,135","-4,941","10,961","2,146"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),239,"4,266","-4,504","5,745","-1,644"
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",13,14,-27,349,3
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,3,-3
21. Tăng/(Giảm) khác về công nợ hoạt động,794,-648,-146,97,374
22. Chi từ các quỹ của TCTD,-3,,3,,
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"-3,582",794,"2,788","2,792","2,935"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-34,-32,66,-793,-15
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",,,,,
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,,,
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",,-57,57,-64,-5
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,,,,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,1,-1,7,
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-34,-88,122,-849,-19
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,,,"1,548",
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,-160,160,-409,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,,-160,160,"1,138",
IV- Lưu chuyển tiền thuần trong kỳ,"-3,616",546,"3,070","3,081","2,916"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,"6,422",,"-6,422","6,422","9,502"
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,,,,,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"2,806",546,"-3,351","9,502","12,418"
