SSB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",851,852,890,860,964
II. Tiền gửi tại NHNN,"2,800","2,115","5,290","3,687","11,300"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","48,699","60,696","54,967","55,028","70,244"
"1. Tiền, vàng gửi tại các TCTD khác","45,808","55,354","50,450","51,975","67,920"
2. Cho vay các TCTD khác,"2,891","5,342","4,518","3,053","2,324"
3. Dự phòng rủi ro cho vay các TCTD khác,0,,,,
IV. Chứng khoán kinh doanh,"8,353","4,830","4,250","6,437","8,867"
1. Chứng khoán kinh doanh,"8,353","4,830","4,250","6,437","8,869"
2. Dự phòng giảm giá chứng khoán kinh doanh,0,-2,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,,,,
VI. Cho vay khách hàng,"176,774","178,163","183,237","193,911","206,073"
1. Cho vay và cho thuê tài chính khách hàng,"179,752","181,185","185,959","196,890","209,355"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,978","-3,022","-2,722","-2,979","-3,281"
VII. Hoạt động mua nợ,0,,,,
1. Mua nợ,0,,,,
2. Dự phòng rủi ro hoạt động mua nợ,0,,,,
VII. Chứng khoán đầu tư,"14,351","10,191","16,992","16,771","19,632"
1. Chứng khoán đầu tư sẵn sàng để bán,"14,036","10,191","9,992","16,771","17,556"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,350,350,"7,350",350,"2,427"
3. Dự phòng giảm giá chứng khoán đầu tư,-35,-350,-350,-350,-350
"VIII. Góp vốn, đầu tư dài hạn",62,62,62,62,62
1. Đầu tư vào công ty con,0,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",0,,,,
3. Đầu tư dài hạn khác,62,62,62,62,62
4. Dự phòng giảm giá đầu tư dài hạn,-1,-1,0,0,0
IX. Tài sản cố định,"1,269","1,237","1,221","1,348","1,367"
1. Tài sản cố định hữu hình,551,530,509,491,488
a. Nguyên giá TSCĐ,"1,083","1,083","1,083","1,087","1,092"
