SSB,Q2/2015,Q3/2016,Q1/2017,Q2/2017,Q3/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",515,600,725,722,823
II. Tiền gửi tại NHNN,"3,909","2,437","2,302","1,527","2,607"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","9,795","11,008","13,661","9,282","9,919"
"1. Tiền, vàng gửi tại các TCTD khác","6,630","7,773","10,833","6,220","8,291"
2. Cho vay các TCTD khác,"3,165","3,235","2,828","3,063","1,628"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,9,835,"2,046","4,181",
1. Chứng khoán kinh doanh,9,835,"2,046","4,181",
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,3,,,,
VI. Cho vay khách hàng,"35,210","54,722","57,998","63,303","64,951"
1. Cho vay và cho thuê tài chính khách hàng,"35,692","55,200","58,511","63,839","65,541"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-482,-478,-513,-536,-590
VII. Hoạt động mua nợ,51,50,50,42,
1. Mua nợ,64,64,64,64,
2. Dự phòng rủi ro hoạt động mua nợ,-13,-14,-14,-22,
VII. Chứng khoán đầu tư,"15,110","18,746","22,121","22,616","20,871"
1. Chứng khoán đầu tư sẵn sàng để bán,"13,832","14,148","17,889","18,620","17,024"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"1,354","5,205","4,897","4,883","4,883"
3. Dự phòng giảm giá chứng khoán đầu tư,-75,-608,-665,-887,"-1,036"
"VIII. Góp vốn, đầu tư dài hạn",183,183,183,183,179
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",72,72,,,
3. Đầu tư dài hạn khác,183,183,183,111,107
4. Dự phòng giảm giá đầu tư dài hạn,,,,,
IX. Tài sản cố định,287,346,352,399,395
1. Tài sản cố định hữu hình,203,249,246,237,233
a. Nguyên giá TSCĐ,449,543,559,560,566
b. Hao mòn TSCĐ,-247,-294,-313,-323,-332
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,84,97,106,162,161
a. Nguyên giá TSCĐ,152,177,193,252,256
b. Hao mòn TSCĐ,-68,-80,-87,-90,-94
X. Bất động sản đầu tư,318,289,290,252,251
a. Nguyên giá BĐSĐT,320,293,294,256,256
b. Hao mòn BĐSĐT,-2,-3,-4,-4,-5
"XI. Tài sản ""Có"" khác","8,106","6,081","7,040","7,194","7,568"
1. Các khoản phải thu,"4,629","1,782","1,681","1,523","1,570"
"2. Các khoản lãi, phí phải thu","2,223","1,904","2,953","3,332","3,432"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,"1,253","2,401","2,412","2,345","2,575"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-5,-6,-6,-9,
TỔNG CỘNG TÀI SẢN,"73,441","94,463","105,557","107,574","111,791"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
