SSB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Công ty mẹ,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,021",963,"1,022",972,"1,290"
II. Tiền gửi tại NHNN,"1,704","2,374","1,934","2,538","3,232"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","19,140","13,701","17,557","17,104","25,400"
"1. Tiền, vàng gửi tại các TCTD khác","16,376","13,591","16,827","16,745","24,135"
2. Cho vay các TCTD khác,"2,763",110,731,359,"1,265"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,"7,222","9,087","2,666","3,220","1,263"
1. Chứng khoán kinh doanh,"7,306","9,139","2,718","3,238","1,311"
2. Dự phòng giảm giá chứng khoán kinh doanh,-84,-52,-52,-18,-48
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,89,179,33,,
VI. Cho vay khách hàng,"83,008","84,787","87,297","92,460","97,484"
1. Cho vay và cho thuê tài chính khách hàng,"83,910","85,700","88,211","93,318","98,614"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-902,-913,-914,-858,"-1,129"
VII. Hoạt động mua nợ,32,32,31,31,
1. Mua nợ,42,42,42,31,
2. Dự phòng rủi ro hoạt động mua nợ,-10,-10,-11,,
VII. Chứng khoán đầu tư,"20,534","21,596","30,325","26,885","20,654"
1. Chứng khoán đầu tư sẵn sàng để bán,"17,840","18,948","27,931","24,802","20,368"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"3,859","3,859","3,633","3,164",319
3. Dự phòng giảm giá chứng khoán đầu tư,"-1,164","-1,210","-1,238","-1,081",-33
"VIII. Góp vốn, đầu tư dài hạn",206,131,131,"1,867",121
1. Đầu tư vào công ty con,"1,760",,,,
"2. Đầu tư vào công ty liên doanh, liên kết",72,,,,
3. Đầu tư dài hạn khác,191,191,189,107,148
4. Dự phòng giảm giá đầu tư dài hạn,-58,-60,-58,-27,
IX. Tài sản cố định,776,770,776,773,771
1. Tài sản cố định hữu hình,223,218,211,211,212
a. Nguyên giá TSCĐ,604,608,611,616,630
b. Hao mòn TSCĐ,-380,-390,-399,-405,-418
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,552,552,564,563,559
a. Nguyên giá TSCĐ,671,676,693,695,697
b. Hao mòn TSCĐ,-119,-124,-128,-132,-138
X. Bất động sản đầu tư,240,240,242,242,
a. Nguyên giá BĐSĐT,246,246,248,248,
b. Hao mòn BĐSĐT,-6,-6,-6,-7,
"XI. Tài sản ""Có"" khác","6,605","7,616","7,017","6,950","6,909"
1. Các khoản phải thu,"1,317","1,278","1,272","1,176","1,134"
"2. Các khoản lãi, phí phải thu","2,843","3,783","3,310","4,194","3,380"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,"2,460","2,571","2,452","1,592","2,421"
- Trong đó: Lợi thế thương mại,694,676,659,623,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-15,-15,-16,-12,-27
TỔNG CỘNG TÀI SẢN,"140,487","141,298","149,087","152,980","157,398"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
