SSB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"3,155","2,938","2,899","3,263","3,555"
2. Chi phí lãi và các chi phí tương tự,"1,830","1,520","1,562","1,698","1,827"
I. Thu nhập lãi thuần,"1,325","1,418","1,337","1,565","1,728"
3. Thu nhập từ hoạt động dịch vụ,577,388,393,333,551
4. Chi phí hoạt động dịch vụ,231,45,60,59,61
II. Lãi/lỗ thuần từ hoạt động dịch vụ,346,343,334,274,490
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,16,16,39,12,106
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-18,66,16,146,63
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,38,54,123,279,281
5. Thu nhập từ hoạt động khác,110,103,119,102,96
6. Chi phí hoạt động khác,61,55,85,55,64
VI. Lãi/lỗ thuần từ hoạt động khác,49,48,35,47,32
"VII. Thu nhập từ góp vốn, mua cổ phần",3,4,3,0,8
VIII. Chi phí hoạt động,639,595,709,658,868
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,120","1,354","1,178","1,665","1,838"
X. Chi phí dự phòng rủi ro tín dụng,262,380,440,358,339
XI. Tổng lợi nhuận trước thuế (IX-X),858,974,738,"1,306","1,500"
7. Chi phí thuế TNDN hiện hành,175,197,147,258,298
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,175,197,147,258,298
XIII. Lợi nhuận sau thuế (XI-XII),683,777,591,"1,049","1,202"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),683,777,591,"1,049","1,202"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
