SSB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"5,168","4,788","5,254","5,405","5,269"
2. Chi phí lãi và các chi phí tương tự,"2,953","2,787","2,512","2,608","2,843"
I. Thu nhập lãi thuần,"2,215","2,002","2,742","2,797","2,426"
3. Thu nhập từ hoạt động dịch vụ,501,195,235,307,611
4. Chi phí hoạt động dịch vụ,67,55,44,60,79
II. Lãi/lỗ thuần từ hoạt động dịch vụ,435,141,191,247,533
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,244,103,304,156,8
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-203,108,-39,-28,-213
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,107,344,99,-25,-96
5. Thu nhập từ hoạt động khác,70,56,57,78,612
6. Chi phí hoạt động khác,28,46,49,48,50
VI. Lãi/lỗ thuần từ hoạt động khác,42,10,8,30,562
"VII. Thu nhập từ góp vốn, mua cổ phần",,0,1,0,0
VIII. Chi phí hoạt động,"1,040",911,949,"1,130","1,140"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,799","1,795","2,356","2,049","2,079"
X. Chi phí dự phòng rủi ro tín dụng,339,289,623,779,548
XI. Tổng lợi nhuận trước thuế (IX-X),"1,460","1,506","1,732","1,270","1,531"
7. Chi phí thuế TNDN hiện hành,299,305,351,258,310
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,299,305,351,258,310
XIII. Lợi nhuận sau thuế (XI-XII),"1,161","1,201","1,382","1,012","1,221"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,161","1,201","1,382","1,012","1,221"
Lãi cơ bản trên cổ phiếu (BCTC),,481,,,
