SSB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"3,946","4,386","4,909","4,917","4,811"
2. Chi phí lãi và các chi phí tương tự,"2,161","2,457","3,113","3,410","3,173"
I. Thu nhập lãi thuần,"1,785","1,929","1,796","1,508","1,638"
3. Thu nhập từ hoạt động dịch vụ,384,375,172,294,413
4. Chi phí hoạt động dịch vụ,58,98,53,48,55
II. Lãi/lỗ thuần từ hoạt động dịch vụ,326,277,119,246,358
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,26,79,38,33,287
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,60,-40,135,67,110
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,12,50,131,9,-54
5. Thu nhập từ hoạt động khác,102,116,79,130,54
6. Chi phí hoạt động khác,57,46,42,41,31
VI. Lãi/lỗ thuần từ hoạt động khác,44,70,37,89,23
"VII. Thu nhập từ góp vốn, mua cổ phần",0,0,8,0,7
VIII. Chi phí hoạt động,884,994,831,852,883
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,369","1,371","1,433","1,100","1,485"
X. Chi phí dự phòng rủi ro tín dụng,159,319,363,154,345
XI. Tổng lợi nhuận trước thuế (IX-X),"1,210","1,053","1,070",946,"1,140"
7. Chi phí thuế TNDN hiện hành,245,215,216,193,232
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,245,215,216,193,232
XIII. Lợi nhuận sau thuế (XI-XII),965,837,854,754,908
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),965,837,854,754,908
Lãi cơ bản trên cổ phiếu (BCTC),,,418,,
