SSB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Công ty mẹ,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"2,300","2,387","2,563","2,716","2,541"
2. Chi phí lãi và các chi phí tương tự,"1,767","1,730","1,796","1,890","1,902"
I. Thu nhập lãi thuần,533,657,767,827,639
3. Thu nhập từ hoạt động dịch vụ,131,70,146,180,119
4. Chi phí hoạt động dịch vụ,36,24,43,48,70
II. Lãi/lỗ thuần từ hoạt động dịch vụ,94,47,103,133,50
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-37,-3,2,15,-5
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,74,10,51,-2,312
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,1,3,18,2,11
5. Thu nhập từ hoạt động khác,15,33,33,43,"1,567"
6. Chi phí hoạt động khác,4,28,33,30,-52
VI. Lãi/lỗ thuần từ hoạt động khác,11,5,0,13,"1,619"
"VII. Thu nhập từ góp vốn, mua cổ phần",0,2,2,1,22
VIII. Chi phí hoạt động,451,458,475,451,575
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),224,264,468,537,"2,072"
X. Chi phí dự phòng rủi ro tín dụng,12,113,209,248,"1,261"
XI. Tổng lợi nhuận trước thuế (IX-X),212,150,259,290,811
7. Chi phí thuế TNDN hiện hành,121,0,32,58,146
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,121,0,32,58,146
XIII. Lợi nhuận sau thuế (XI-XII),91,150,226,232,665
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),91,150,226,232,665
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
