SSB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",922,"1,038",963,921,919
II. Tiền gửi tại NHNN,"3,980","9,827","1,505","5,277","4,920"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","52,727","45,068","54,926","44,260","45,093"
"1. Tiền, vàng gửi tại các TCTD khác","50,191","41,462","49,514","41,005","40,660"
2. Cho vay các TCTD khác,"2,536","3,606","5,412","3,255","4,433"
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,,,
IV. Chứng khoán kinh doanh,"8,444","3,987","4,293","4,946","2,699"
1. Chứng khoán kinh doanh,"8,445","3,987","4,293","4,946","2,699"
2. Dự phòng giảm giá chứng khoán kinh doanh,0,0,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,150,0,77,,
VI. Cho vay khách hàng,"147,737","151,523","156,605","159,126","165,740"
1. Cho vay và cho thuê tài chính khách hàng,"149,976","153,956","159,281","161,889","168,848"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,239","-2,433","-2,676","-2,763","-3,108"
VII. Hoạt động mua nợ,0,0,,,
1. Mua nợ,0,0,,,
2. Dự phòng rủi ro hoạt động mua nợ,0,0,,,
VII. Chứng khoán đầu tư,"5,196","8,647","12,688","15,380","13,635"
1. Chứng khoán đầu tư sẵn sàng để bán,"4,518","7,951","12,333","15,065","13,320"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,718,715,374,350,350
3. Dự phòng giảm giá chứng khoán đầu tư,-39,-20,-20,-35,-35
"VIII. Góp vốn, đầu tư dài hạn",61,61,61,62,62
1. Đầu tư vào công ty con,0,0,,,
"2. Đầu tư vào công ty liên doanh, liên kết",0,0,62,,
3. Đầu tư dài hạn khác,62,62,62,62,-1
4. Dự phòng giảm giá đầu tư dài hạn,-1,-1,-1,-1,
IX. Tài sản cố định,948,"1,086","1,073","1,174","1,183"
1. Tài sản cố định hữu hình,313,427,410,491,480
a. Nguyên giá TSCĐ,741,878,879,982,991
b. Hao mòn TSCĐ,-428,-450,-469,-490,-511
2. Tài sản cố định thuê tài chính,0,0,,,
a. Nguyên giá TSCĐ,0,0,,,
b. Hao mòn TSCĐ,0,0,,,
3. Tài sản cố định vô hình,635,659,662,683,703
a. Nguyên giá TSCĐ,821,854,867,899,929
b. Hao mòn TSCĐ,-186,-196,-205,-216,-226
X. Bất động sản đầu tư,58,58,58,61,61
a. Nguyên giá BĐSĐT,64,64,64,68,68
b. Hao mòn BĐSĐT,-6,-6,-7,-7,-7
