ACB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"8,653","8,291","8,455","9,054","9,420"
2. Chi phí lãi và các chi phí tương tự,"3,663","3,770","3,661","3,613","3,813"
I. Thu nhập lãi thuần,"4,990","4,521","4,794","5,441","5,606"
3. Thu nhập từ hoạt động dịch vụ,"1,186",897,"1,063","1,025","1,343"
4. Chi phí hoạt động dịch vụ,300,262,316,286,350
II. Lãi/lỗ thuần từ hoạt động dịch vụ,886,636,747,739,993
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,232,206,238,303,145
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,92,183,61,-11,-227
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,45,92,58,7,18
5. Thu nhập từ hoạt động khác,175,148,134,429,413
6. Chi phí hoạt động khác,196,106,65,60,57
VI. Lãi/lỗ thuần từ hoạt động khác,-21,42,69,369,356
"VII. Thu nhập từ góp vốn, mua cổ phần",3,10,3,2,31
VIII. Chi phí hoạt động,"1,593","2,254","2,417","2,739","2,276"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"4,635","3,436","3,554","4,111","4,647"
X. Chi phí dự phòng rủi ro tín dụng,"1,386",820,524,-3,-267
XI. Tổng lợi nhuận trước thuế (IX-X),"3,248","2,616","3,030","4,114","4,914"
7. Chi phí thuế TNDN hiện hành,592,559,528,983,904
8. Chi phí thuế TNDN hoãn lại,68,-46,73,-156,67
XII. Chi phí thuế TNDN,660,513,601,826,971
XIII. Lợi nhuận sau thuế (XI-XII),"2,588","2,103","2,428","3,288","3,943"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"2,588","2,103","2,428","3,288","3,943"
Lãi cơ bản trên cổ phiếu (BCTC),,,,"1,217",
