ACB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"6,617","6,535","6,812","7,285","7,685"
2. Chi phí lãi và các chi phí tương tự,"3,679","3,679","3,909","4,262","4,355"
I. Thu nhập lãi thuần,"2,939","2,857","2,903","3,023","3,330"
3. Thu nhập từ hoạt động dịch vụ,595,541,708,727,734
4. Chi phí hoạt động dịch vụ,173,169,188,207,248
II. Lãi/lỗ thuần từ hoạt động dịch vụ,422,371,520,519,486
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-67,81,69,142,139
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-31,26,-4,52,1
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-18,18,-27,12,51
5. Thu nhập từ hoạt động khác,927,136,481,88,841
6. Chi phí hoạt động khác,11,2,1,4,38
VI. Lãi/lỗ thuần từ hoạt động khác,917,134,480,84,803
"VII. Thu nhập từ góp vốn, mua cổ phần",2,3,8,17,0
VIII. Chi phí hoạt động,"2,039","1,799","1,922","1,844","2,743"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"2,125","1,691","2,026","2,005","2,067"
X. Chi phí dự phòng rủi ro tín dụng,272,-16,111,66,112
XI. Tổng lợi nhuận trước thuế (IX-X),"1,853","1,707","1,915","1,939","1,955"
7. Chi phí thuế TNDN hiện hành,451,372,365,401,339
8. Chi phí thuế TNDN hoãn lại,46,-31,18,-11,67
XII. Chi phí thuế TNDN,497,341,383,390,406
XIII. Lợi nhuận sau thuế (XI-XII),"1,356","1,366","1,533","1,549","1,549"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,356","1,366","1,533","1,549","1,549"
Lãi cơ bản trên cổ phiếu (BCTC),,"1,095",,,
