ACB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","6,871","7,010","7,510","6,282","7,180"
II. Tiền gửi tại NHNN,"21,912","33,533","32,350","18,208","11,268"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","28,989","28,676","49,819","54,338","57,123"
"1. Tiền, vàng gửi tại các TCTD khác","21,701","22,969","43,713","51,377","53,074"
2. Cho vay các TCTD khác,"7,288","5,707","6,106","2,961","4,049"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,"10,271","10,152","11,260","5,068","1,481"
1. Chứng khoán kinh doanh,"10,375","10,240","11,325","5,159","1,683"
2. Dự phòng giảm giá chứng khoán kinh doanh,-105,-88,-66,-91,-202
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,82,64,227,92,92
VI. Cho vay khách hàng,"336,828","330,911","356,051","374,125","390,049"
1. Cho vay và cho thuê tài chính khách hàng,"341,668","336,492","361,913","379,983","395,599"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-4,840","-5,580","-5,862","-5,858","-5,549"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"55,528","58,534","59,475","58,710","64,489"
1. Chứng khoán đầu tư sẵn sàng để bán,"9,535","8,887","9,740","10,635","18,578"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"46,253","49,808","49,743","48,079","45,917"
3. Dự phòng giảm giá chứng khoán đầu tư,-260,-160,-8,-3,-6
"VIII. Góp vốn, đầu tư dài hạn",88,88,172,208,158
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",3,3,,,
3. Đầu tư dài hạn khác,102,102,299,310,309
4. Dự phòng giảm giá đầu tư dài hạn,-17,-17,-127,-102,-151
IX. Tài sản cố định,"3,703","3,646","3,763","3,678","3,625"
1. Tài sản cố định hữu hình,"2,628","2,581","2,685","2,642","2,601"
a. Nguyên giá TSCĐ,"4,923","4,952","5,123","5,137","5,155"
b. Hao mòn TSCĐ,"-2,295","-2,370","-2,438","-2,495","-2,554"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"1,075","1,065","1,077","1,037","1,024"
a. Nguyên giá TSCĐ,"1,542","1,550","1,580","1,557","1,562"
b. Hao mòn TSCĐ,-466,-484,-502,-521,-539
X. Bất động sản đầu tư,216,216,216,216,216
a. Nguyên giá BĐSĐT,216,216,216,216,216
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","6,788","6,479","6,929","7,711","8,056"
1. Các khoản phải thu,"3,351","3,185","3,023","3,820","4,267"
"2. Các khoản lãi, phí phải thu","2,722","2,591","3,172","3,033","2,966"
3. Tài sản thuế TNDN hoãn lại,72,117,44,201,133
4. Tài sản Có khác,"1,005",923,870,837,869
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-362,-337,-180,-180,-179
TỔNG CỘNG TÀI SẢN,"471,275","479,309","527,770","528,636","543,737"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
