ACB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","6,909","6,470","6,594","5,871","5,696"
II. Tiền gửi tại NHNN,"18,505","7,852","15,725","8,392","25,220"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","114,874","121,951","105,419","92,090","117,882"
"1. Tiền, vàng gửi tại các TCTD khác","114,644","120,069","103,684","92,090","117,781"
2. Cho vay các TCTD khác,280,"1,932","1,785",50,151
3. Dự phòng rủi ro cho vay các TCTD khác,-50,-50,-50,-50,-50
IV. Chứng khoán kinh doanh,"7,177","7,378","6,125","6,966","3,881"
1. Chứng khoán kinh doanh,"7,323","7,469","6,236","7,059","4,029"
2. Dự phòng giảm giá chứng khoán kinh doanh,-146,-91,-111,-94,-148
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,268,56,,,
VI. Cho vay khách hàng,"482,235","500,340","543,853","548,247","573,947"
1. Cho vay và cho thuê tài chính khách hàng,"487,602","506,112","550,172","554,908","580,686"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-5,367","-5,773","-6,319","-6,661","-6,740"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"73,463","68,000","77,090","100,862","121,090"
1. Chứng khoán đầu tư sẵn sàng để bán,"44,904","45,959","61,664","88,938","108,918"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"28,560","22,041","15,438","11,931","12,172"
3. Dự phòng giảm giá chứng khoán đầu tư,-12,-7,,,
"VIII. Góp vốn, đầu tư dài hạn",140,140,129,127,125
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,303,303,293,293,293
4. Dự phòng giảm giá đầu tư dài hạn,-163,-163,-164,-165,-168
IX. Tài sản cố định,"4,763","4,671","4,666","4,643","5,412"
1. Tài sản cố định hữu hình,"3,318","3,234","3,119","3,084","3,222"
