ACB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"5,194","5,477","5,586","5,804","6,008"
2. Chi phí lãi và các chi phí tương tự,"3,046","3,094","3,213","3,316","3,445"
I. Thu nhập lãi thuần,"2,147","2,383","2,373","2,488","2,563"
3. Thu nhập từ hoạt động dịch vụ,401,450,463,511,526
4. Chi phí hoạt động dịch vụ,93,111,110,117,197
II. Lãi/lỗ thuần từ hoạt động dịch vụ,309,339,353,394,328
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,54,57,78,69,161
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-26,-1,5,-34,-19
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,3,229,138,-75,123
5. Thu nhập từ hoạt động khác,78,459,380,395,250
6. Chi phí hoạt động khác,37,17,29,39,58
VI. Lãi/lỗ thuần từ hoạt động khác,41,442,351,356,192
"VII. Thu nhập từ góp vốn, mua cổ phần",8,5,5,8,11
VIII. Chi phí hoạt động,"1,269","1,726","1,679","1,233","1,520"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,267","1,726","1,624","1,972","1,840"
X. Chi phí dự phòng rủi ro tín dụng,525,"1,074",134,311,215
XI. Tổng lợi nhuận trước thuế (IX-X),742,652,"1,490","1,661","1,625"
7. Chi phí thuế TNDN hiện hành,199,66,348,343,315
8. Chi phí thuế TNDN hoãn lại,-4,-5,-2,,0
XII. Chi phí thuế TNDN,195,61,346,343,316
XIII. Lợi nhuận sau thuế (XI-XII),547,591,"1,144","1,318","1,309"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),547,591,"1,144","1,318","1,309"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
