ACB,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"5,068","4,505","4,183","3,941","3,855"
2. Chi phí lãi và các chi phí tương tự,"3,463","2,910","2,952","2,836","2,667"
I. Thu nhập lãi thuần,"1,605","1,594","1,232","1,105","1,189"
3. Thu nhập từ hoạt động dịch vụ,226,225,221,250,253
4. Chi phí hoạt động dịch vụ,53,61,50,54,57
II. Lãi/lỗ thuần từ hoạt động dịch vụ,173,165,171,196,196
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,"-1,144",-612,-84,30,10
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-28,19,30,15,-20
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-10,-211,50,128,185
5. Thu nhập từ hoạt động khác,21,24,15,26,212
6. Chi phí hoạt động khác,27,14,17,25,201
VI. Lãi/lỗ thuần từ hoạt động khác,-6,9,-3,0,12
"VII. Thu nhập từ góp vốn, mua cổ phần",1,34,45,15,0
VIII. Chi phí hoạt động,"1,007","1,303",844,884,955
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),-417,-305,597,606,616
X. Chi phí dự phòng rủi ro tín dụng,274,-90,202,57,82
XI. Tổng lợi nhuận trước thuế (IX-X),-691,-215,395,549,534
7. Chi phí thuế TNDN hiện hành,-171,-57,88,140,133
8. Chi phí thuế TNDN hoãn lại,0,,,,
XII. Chi phí thuế TNDN,-171,-57,88,140,133
XIII. Lợi nhuận sau thuế (XI-XII),-521,-159,307,409,401
XIV. Lợi ích của cổ đông thiểu số,0,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),-521,-159,307,409,401
Lãi cơ bản trên cổ phiếu (BCTC),0,,,,
